Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.19	-0.97	0.09	0.99	-77.89	-64.07	-53.65	
1	0.16	-0.94	0.09	0.96	-78.39	-68.84	-59.11	
2	0.13	-0.97	0.11	0.98	-79.00	-72.46	-63.71	
3	0.11	-0.98	0.10	1.00	-79.70	-76.16	-68.38	
4	0.07	-1.05	0.09	1.05	-80.65	-80.10	-73.04	
5	-0.03	-1.04	0.13	1.05	-82.03	-82.89	-76.04	
6	0.03	-0.98	0.09	0.98	-83.31	-85.43	-77.93	
7	0.16	-1.05	-0.04	1.06	-96.11	-84.40	-86.86	
8	-0.10	-1.00	-0.01	1.00	-94.95	-70.61	-99.88	
9	-0.09	-0.97	-0.08	0.98	-94.05	-46.11	-122.94	
10	-0.06	-1.00	-0.02	1.00	-93.88	-23.89	-143.83	
11	-0.15	-0.93	-0.04	0.94	-93.89	2.04	-167.81	
12	-0.09	-1.11	-0.06	1.11	-94.74	13.39	-176.80	
13	-0.14	-1.02	-0.02	1.03	-95.14	22.95	175.60	
14	-0.19	-0.97	-0.01	0.99	-95.79	32.14	167.87	
15	-0.17	-1.01	0.00	1.02	-96.31	37.44	164.10	
16	-0.20	-1.02	-0.00	1.04	-97.00	41.63	161.17	
17	-0.17	-1.00	0.06	1.02	-97.29	45.31	158.83	
18	-0.08	-1.02	0.05	1.02	-97.08	45.91	159.33	
19	-0.11	-0.94	0.08	0.95	-96.57	48.70	157.35	
20	-0.07	-0.92	0.13	0.94	-95.40	53.84	152.38	
21	0.02	-0.87	0.03	0.87	-93.94	54.32	151.16	
22	-0.04	-0.99	0.16	1.01	-92.41	68.26	135.88	
23	-0.18	-1.40	-0.09	1.41	-91.90	74.90	128.28	
24	0.13	-0.72	0.01	0.73	-91.11	45.31	158.28	
25	0.28	-0.72	-0.05	0.78	-91.49	-59.52	-97.59	
26	0.09	-1.19	0.04	1.19	-92.49	-64.08	-93.78	
27	0.11	-1.12	0.11	1.13	-93.21	-78.58	-79.76	
28	0.12	-0.91	0.10	0.92	-93.88	-80.74	-77.94	
29	0.17	-0.91	0.03	0.93	-94.96	-71.15	-87.90	
30	0.20	-0.93	0.06	0.96	-96.10	-64.10	-95.66	
31	0.14	-1.01	0.07	1.02	-96.71	-58.94	-101.70	
32	0.14	-1.04	0.10	1.05	-97.14	-58.19	-103.58	
33	0.17	-0.96	0.10	0.98	-97.52	-58.89	-104.00	
34	0.12	-0.94	0.13	0.96	-97.56	-58.87	-105.03	
35	0.10	-0.96	0.18	0.98	-97.02	-58.35	-106.03	
36	0.09	-0.98	0.19	1.00	-95.76	-60.18	-103.72	
37	0.19	-0.89	0.21	0.93	-94.29	-71.88	-91.01	
38	0.01	-1.11	0.15	1.12	-87.58	-81.36	-62.41	
39	-0.23	-1.62	-0.07	1.63	-88.95	-49.14	-27.34	
40	0.26	-0.70	0.08	0.75	-86.92	-87.32	-68.69	
41	-0.03	-0.42	-0.12	0.44	-92.12	-59.44	-101.99	
42	-0.17	-1.23	-0.09	1.24	-92.87	3.59	-162.51	
43	-0.16	-1.32	0.02	1.33	-93.24	14.80	-173.10	
44	-0.09	-0.87	0.04	0.87	-93.98	35.85	165.61	
45	0.01	-0.92	-0.04	0.92	-94.99	41.14	161.34	
46	-0.15	-1.04	0.07	1.05	-95.92	49.20	154.60	
47	-0.12	-0.93	0.08	0.94	-96.31	57.09	147.09	
48	-0.11	-0.99	0.03	1.00	-96.72	58.43	146.81	
49	-0.22	-1.00	-0.01	1.02	-97.56	58.19	148.51	
50	-0.20	-0.97	0.01	0.99	-98.37	61.09	147.61	
51	-0.08	-1.03	0.02	1.03	-98.77	62.64	148.81	
52	-0.04	-1.01	0.06	1.01	-98.99	64.49	149.70	
53	-0.03	-0.97	0.09	0.97	-99.05	65.76	150.46	
54	-0.04	-0.95	0.08	0.96	-99.13	65.61	151.98	
55	-0.06	-0.97	0.09	0.98	-99.22	64.12	154.10	
56	-0.02	-1.00	0.10	1.00	-99.05	61.34	156.66	
57	-0.01	-0.98	0.14	0.99	-98.56	58.41	158.67	
58	-0.04	-0.99	0.15	1.00	-97.82	55.41	160.23	
59	-0.07	-1.06	0.18	1.08	-96.45	55.17	158.14	
60	-0.09	-1.01	0.16	1.03	-94.52	63.34	147.32	
61	-0.18	-1.35	-0.20	1.37	-93.88	59.58	148.48	
62	-0.10	-0.83	0.04	0.84	-94.46	66.70	140.92	
63	-0.16	-0.59	-0.02	0.61	-94.55	75.30	132.93	
64	-0.03	-1.29	-0.10	1.29	-94.17	56.92	151.21	
65	0.10	-1.06	-0.01	1.06	-93.79	51.63	157.79	
66	-0.00	-0.78	0.08	0.78	-93.08	58.25	152.00	
67	0.04	-1.04	-0.04	1.04	-93.03	41.51	168.84	
68	0.08	-1.00	-0.03	1.00	-93.14	24.30	-174.17	
69	0.08	-0.98	0.05	0.99	-93.03	18.16	-168.19	
70	0.02	-1.03	0.07	1.03	-92.97	19.03	-169.25	
71	0.02	-1.02	0.07	1.02	-93.04	20.21	-170.36	
72	0.06	-1.00	0.05	1.00	-92.97	18.50	-168.32	
73	0.07	-0.97	0.04	0.97	-93.09	15.13	-164.59	
74	0.03	-0.97	0.06	0.97	-93.14	18.44	-167.41	
75	-0.03	-1.00	0.05	1.00	-93.47	29.22	-177.12	
76	-0.04	-1.03	0.05	1.03	-94.13	39.99	173.80	
77	-0.09	-0.99	0.09	1.00	-94.99	53.75	162.66	
78	0.03	-0.95	0.04	0.95	-95.91	61.71	158.67	
