Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.14	-0.95	-0.15	0.97	-102.10	43.24	127.76	
1	-0.19	-0.97	-0.16	1.00	-103.64	42.14	129.60	
2	-0.24	-1.02	-0.17	1.06	-105.23	41.54	131.02	
3	-0.20	-1.01	-0.15	1.04	-106.21	41.59	131.94	
4	-0.14	-1.05	-0.14	1.07	-106.70	41.47	132.70	
5	-0.20	-0.96	-0.16	0.99	-106.99	41.81	132.18	
6	-0.33	-0.94	-0.10	1.00	-107.03	43.21	130.31	
7	-0.26	-0.96	-0.13	1.00	-106.78	42.80	130.20	
8	-0.29	-0.97	-0.19	1.03	-106.87	41.52	131.21	
9	-0.29	-0.91	-0.18	0.97	-106.62	40.71	132.14	
10	-0.22	-1.01	-0.17	1.05	-106.30	38.85	134.55	
11	-0.13	-1.08	-0.22	1.11	-105.88	36.02	137.91	
12	-0.03	-1.11	-0.33	1.16	-106.35	31.92	142.85	
13	-0.10	-0.69	-0.01	0.70	-106.15	34.58	142.74	
14	0.04	-0.96	-0.16	0.97	-105.79	31.10	147.76	
15	0.00	-1.21	-0.20	1.22	-105.77	29.20	149.87	
16	-0.00	-0.95	-0.14	0.96	-105.38	27.98	150.37	
17	-0.02	-0.93	-0.04	0.93	-104.20	25.91	151.10	
18	-0.04	-1.06	-0.13	1.06	-104.09	20.64	154.16	
19	-0.01	-1.04	-0.18	1.05	-104.42	13.16	159.86	
20	0.05	-0.97	-0.05	0.97	-103.85	6.93	165.11	
21	0.02	-1.00	-0.08	1.00	-103.76	1.52	170.06	
22	0.02	-1.01	-0.14	1.02	-104.30	-1.84	172.59	
23	0.03	-0.95	-0.05	0.95	-104.11	-3.09	173.67	
24	0.01	-1.05	-0.12	1.06	-104.16	-3.06	173.67	
25	0.02	-1.01	-0.11	1.02	-104.27	-2.31	172.87	
26	0.04	-0.91	-0.10	0.92	-104.12	-0.18	171.45	
27	0.11	-0.96	-0.17	0.98	-104.41	1.80	170.51	
28	0.09	-0.97	-0.21	0.99	-105.13	5.03	167.93	
29	-0.01	-0.91	-0.16	0.92	-105.73	9.91	163.38	
30	-0.07	-0.84	-0.29	0.89	-107.36	15.71	158.82	
31	-0.24	-1.51	-0.54	1.62	-111.55	17.57	159.27	
32	-0.14	-0.65	0.34	0.74	-111.03	16.98	157.97	
33	-0.16	-0.67	-0.18	0.71	-112.22	21.02	154.30	
34	-0.13	-1.59	-0.29	1.62	-113.07	21.43	156.85	
35	-0.10	-1.13	-0.16	1.14	-112.91	22.45	157.60	
36	-0.13	-0.69	-0.12	0.71	-112.56	27.20	153.31	
37	-0.15	-0.97	-0.19	1.00	-112.59	30.61	151.20	
38	-0.20	-1.10	-0.20	1.14	-112.81	32.39	150.33	
39	-0.25	-0.91	-0.10	0.95	-112.40	35.28	147.43	
40	-0.16	-0.98	-0.18	1.00	-111.96	35.64	146.73	
41	-0.23	-0.91	-0.19	0.96	-111.85	35.18	146.72	
42	-0.27	-0.91	-0.16	0.96	-111.59	34.76	146.30	
43	-0.29	-0.95	-0.23	1.02	-111.43	33.63	146.89	
44	-0.31	-1.00	-0.22	1.07	-111.49	32.50	147.99	
45	-0.20	-1.00	-0.21	1.04	-110.95	31.09	149.45	
46	-0.17	-1.11	-0.30	1.16	-110.15	30.17	150.53	
47	0.03	-1.05	-0.30	1.10	-109.99	28.10	152.42	
48	-0.06	-0.76	-0.07	0.77	-109.62	30.27	151.82	
49	-0.01	-0.92	-0.12	0.93	-108.75	30.16	152.22	
50	0.02	-1.17	-0.20	1.19	-107.93	27.14	153.98	
51	-0.10	-0.96	-0.19	0.99	-107.75	26.14	153.54	
52	-0.01	-0.91	-0.13	0.92	-107.23	23.68	154.03	
53	0.01	-1.05	-0.22	1.07	-106.82	19.05	155.91	
54	-0.07	-1.04	-0.15	1.05	-106.09	16.08	155.86	
55	0.03	-1.05	-0.07	1.05	-104.62	12.52	156.65	
56	-0.02	-1.00	-0.04	1.00	-102.91	9.22	157.23	
57	0.03	-1.00	-0.08	1.00	-102.20	4.34	159.39	
58	0.01	-0.96	-0.02	0.96	-101.25	0.30	161.00	
59	-0.04	-1.01	-0.06	1.01	-100.49	-0.68	160.31	
60	-0.06	-0.97	-0.05	0.97	-100.50	0.41	158.32	
61	0.03	-0.99	-0.11	1.00	-101.10	1.16	157.32	
62	0.10	-1.00	-0.11	1.01	-101.29	1.78	156.82	
63	0.11	-1.03	-0.13	1.05	-101.55	2.35	155.66	
64	0.05	-1.00	-0.10	1.01	-101.53	3.26	153.04	
65	-0.09	-1.12	-0.15	1.14	-101.69	5.13	148.70	
66	-0.11	-1.07	-0.27	1.11	-102.88	3.58	147.22	
67	-0.05	-0.76	-0.04	0.77	-103.24	-0.45	146.51	
68	-0.16	-0.88	-0.09	0.90	-103.24	-0.63	142.69	
69	-0.25	-1.22	-0.13	1.26	-102.90	1.59	138.34	
70	-0.11	-1.08	-0.16	1.10	-102.77	3.50	136.26	
71	-0.10	-0.88	-0.10	0.90	-102.19	5.29	133.95	
72	-0.23	-0.91	-0.11	0.94	-101.84	12.38	126.87	
73	-0.15	-1.03	-0.13	1.05	-102.05	17.24	123.12	
74	-0.23	-0.99	-0.10	1.02	-102.39	23.70	118.23	
75	-0.15	-0.94	-0.04	0.95	-102.72	29.38	114.52	
76	-0.13	-0.98	-0.07	0.99	-103.28	32.44	113.65	
77	-0.12	-1.05	-0.08	1.06	-103.68	33.93	113.57	
78	-0.14	-1.01	-0.10	1.03	-104.04	34.83	113.25	
79	-0.20	-0.96	-0.10	0.99	-104.44	36.39	112.07	
80	-0.20	-0.94	-0.09	0.97	-104.69	38.07	110.53	
81	-0.22	-0.99	-0.07	1.02	-104.65	39.84	108.54	
82	-0.25	-0.95	-0.06	0.99	-104.40	41.22	106.36	
83	-0.30	-0.92	-0.09	0.98	-104.42	42.36	104.84	
84	-0.27	-0.96	-0.15	1.01	-104.64	41.99	105.55	
85	-0.23	-0.98	-0.21	1.03	-105.11	39.76	108.37	
86	-0.13	-1.01	-0.27	1.05	-105.57	36.42	112.43	
87	-0.06	-1.05	-0.35	1.11	-106.13	32.87	116.49	
88	-0.27	-1.00	-0.24	1.06	-107.38	33.80	116.50	
89	0.16	-0.68	0.31	0.76	-105.54	34.57	116.37	
90	-0.16	-1.19	-0.18	1.21	-106.20	28.24	119.73	
91	-0.53	-1.39	-0.21	1.50	-107.45	29.98	117.51	
92	-0.02	-0.73	0.10	0.74	-105.83	31.85	116.66	
93	0.01	-0.82	-0.02	0.82	-104.42	36.88	112.44	
94	-0.15	-1.02	-0.13	1.04	-105.02	41.34	108.30	
95	-0.15	-0.83	-0.10	0.85	-106.20	46.93	103.12	
96	-0.23	-0.69	-0.28	0.78	-109.01	49.97	100.53	
97	0.14	-0.78	-0.43	0.90	-112.80	44.76	105.59	
98	-0.03	-0.86	0.32	0.92	-114.24	33.73	106.34	
99	-1.26	-0.51	-0.69	1.53	-118.76	43.18	94.51	
100	-0.05	-0.67	0.06	0.68	-121.12	38.35	96.36	
101	-0.13	-0.40	-0.43	0.59	-124.60	38.44	94.97	
102	-0.49	-0.42	-0.75	0.99	-129.10	33.28	94.79	
103	-0.05	0.02	0.57	0.58	-125.98	36.23	90.05	
104	-0.00	-0.70	-0.16	0.71	-126.90	34.14	93.59	
105	-0.51	-1.30	-0.57	1.51	-124.46	30.60	96.63	
106	-0.19	-1.12	-0.43	1.21	-124.58	26.62	98.04	
107	-0.30	-1.31	-0.74	1.53	-119.60	29.48	94.54	
108	-0.20	-1.35	-0.51	1.45	-114.68	39.36	84.04	
109	-0.52	-1.30	0.40	1.46	-110.46	68.77	57.50	
110	-0.74	-1.54	-0.27	1.73	-110.65	83.74	45.71	
111	-0.67	-0.93	-0.52	1.25	-111.51	84.86	46.00	
112	-0.74	-0.13	1.53	1.70	-66.22	70.53	25.49	
113	-0.40	-0.37	-0.20	0.58	-62.59	72.01	28.25	
114	-0.76	0.71	0.65	1.23	-50.90	53.13	6.07	
115	-0.30	-0.25	0.55	0.67	-43.90	45.79	-1.13	
116	-0.80	-0.23	0.92	1.24	-35.62	41.51	-7.80	
117	-0.93	-0.02	0.86	1.27	-28.93	36.56	-11.76	
118	-0.18	-0.07	0.56	0.60	-24.53	30.99	-13.98	
119	-0.66	0.15	1.11	1.30	-17.89	23.98	-16.07	
120	-0.27	0.30	1.58	1.63	-13.06	16.15	-18.19	
121	0.37	0.18	0.43	0.59	-12.00	12.24	-20.44	
122	0.07	-0.13	1.11	1.12	-12.84	9.16	-21.56	
123	0.01	0.33	1.01	1.06	-11.03	9.02	-22.92	
124	-0.09	0.11	0.97	0.98	-11.51	8.56	-23.58	
125	-0.20	-0.15	1.00	1.03	-12.80	8.61	-24.17	
126	-0.08	0.08	0.85	0.86	-13.76	8.92	-24.68	
127	-0.12	-0.18	1.02	1.04	-15.03	8.99	-24.27	
128	0.03	-0.02	0.90	0.90	-15.58	9.24	-24.94	
