Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.07	-0.99	0.05	0.99	-85.26	-55.69	-51.86	
1	0.03	-1.02	-0.00	1.02	-85.74	-59.89	-56.67	
2	0.05	-0.99	0.01	0.99	-85.88	-62.18	-59.60	
3	0.02	-0.99	0.02	0.99	-86.15	-64.00	-62.39	
4	-0.00	-1.00	0.01	1.00	-86.56	-65.99	-65.43	
5	-0.03	-1.00	-0.01	1.00	-87.35	-71.74	-71.86	
6	-0.06	-0.99	-0.02	0.99	-88.44	-88.30	-88.57	
7	-0.11	-0.98	-0.04	0.99	-90.85	-31.70	-148.59	
8	-0.13	-0.97	-0.04	0.98	-91.70	21.48	158.63	
9	-0.11	-1.01	-0.01	1.01	-92.64	34.32	146.68	
10	-0.10	-1.01	0.01	1.01	-93.46	38.72	143.05	
11	-0.11	-0.97	-0.02	0.98	-94.49	39.14	143.52	
12	-0.17	-0.99	-0.01	1.01	-95.65	40.07	143.90	
13	-0.14	-1.03	-0.04	1.04	-96.57	40.39	145.15	
14	-0.16	-1.00	-0.13	1.02	-97.74	39.31	148.07	
15	-0.15	-0.95	-0.12	0.97	-98.84	38.05	151.37	
16	-0.11	-0.95	-0.11	0.97	-99.60	36.14	155.01	
17	-0.02	-1.01	-0.04	1.01	-99.73	33.46	159.00	
18	0.04	-1.00	0.03	1.00	-98.99	28.47	164.03	
19	0.02	-1.13	-0.13	1.13	-98.18	16.71	174.07	
20	0.02	-1.19	-0.23	1.21	-98.28	5.70	-176.62	
21	-0.06	-0.86	-0.16	0.87	-99.19	5.74	-176.40	
22	0.09	-0.87	-0.16	0.89	-99.42	-3.94	-168.12	
23	0.06	-1.10	-0.15	1.11	-99.68	-11.74	-162.15	
24	0.04	-1.02	-0.17	1.03	-99.77	-15.68	-159.14	
25	0.17	-0.95	-0.15	0.98	-100.00	-21.60	-154.01	
26	0.15	-1.01	-0.13	1.03	-99.95	-27.38	-149.54	
27	0.11	-0.99	-0.13	1.01	-99.98	-30.73	-147.30	
28	0.16	-0.96	-0.06	0.98	-99.79	-36.65	-142.29	
29	0.20	-0.99	-0.03	1.01	-99.63	-43.88	-135.71	
30	0.22	-0.97	-0.05	1.00	-99.80	-47.15	-132.78	
31	0.15	-0.95	-0.01	0.97	-99.69	-49.03	-131.54	
32	0.07	-0.96	-0.00	0.96	-99.28	-48.89	-132.34	
33	0.11	-0.98	0.03	0.99	-99.02	-47.03	-134.36	
34	0.15	-0.98	0.05	1.00	-98.48	-47.89	-133.32	
35	0.09	-1.12	0.01	1.12	-97.33	-44.95	-135.36	
36	-0.09	-1.03	0.08	1.04	-95.15	-40.68	-137.94	
37	0.22	-1.03	-0.25	1.08	-95.33	-30.28	-146.11	
38	0.17	-1.02	-0.15	1.05	-96.55	-27.06	-148.54	
39	-0.21	-0.84	-0.11	0.87	-96.17	-8.11	-166.54	
40	-0.07	-0.95	-0.10	0.96	-96.10	1.57	-175.36	
41	-0.06	-1.21	-0.11	1.22	-96.02	9.83	177.40	
42	-0.14	-1.02	-0.11	1.04	-96.20	19.16	168.20	
43	-0.22	-0.91	-0.05	0.93	-96.45	31.82	156.20	
44	-0.12	-1.00	-0.11	1.01	-97.53	34.97	154.81	
45	-0.06	-1.02	-0.11	1.03	-98.07	33.89	157.22	
46	-0.07	-1.01	-0.04	1.01	-98.42	34.42	157.65	
47	-0.07	-0.95	0.04	0.95	-98.47	35.03	157.64	
48	-0.06	-0.99	0.03	0.99	-98.37	33.40	159.14	
49	-0.03	-1.03	0.02	1.03	-97.84	29.85	161.60	
50	0.01	-1.09	0.01	1.09	-94.93	22.30	164.27	
51	0.02	-1.10	-0.16	1.11	-94.50	11.42	172.17	
52	-0.11	-0.95	-0.11	0.96	-94.74	12.68	169.03	
53	0.18	-0.74	-0.14	0.77	-94.64	-3.40	-176.28	
54	0.23	-1.05	-0.08	1.07	-95.28	-19.52	-162.32	
55	0.12	-1.12	-0.05	1.13	-95.26	-29.80	-153.83	
56	0.11	-0.93	-0.06	0.94	-95.73	-37.78	-147.29	
57	0.12	-0.94	-0.11	0.95	-96.77	-40.04	-146.60	
58	0.17	-0.94	-0.05	0.95	-97.83	-42.26	-146.22	
59	0.17	-0.99	-0.04	1.01	-98.67	-44.08	-146.45	
60	0.06	-1.01	-0.01	1.01	-99.07	-43.73	-148.85	
61	-0.01	-0.98	0.03	0.99	-99.01	-42.26	-151.81	
62	0.09	-0.94	0.08	0.95	-98.76	-42.79	-151.83	
63	0.04	-1.11	0.06	1.11	-97.88	-44.03	-150.82	
64	-0.07	-1.08	0.04	1.09	-95.94	-44.81	-149.24	
65	0.09	-1.08	-0.05	1.08	-94.62	-48.12	-144.29	
66	0.26	-1.08	-0.21	1.13	-95.30	-46.86	-144.52	
67	-0.02	-0.90	-0.07	0.91	-94.72	-40.20	-150.30	
68	-0.06	-0.89	-0.11	0.90	-94.10	-27.24	-162.24	
69	0.11	-1.01	-0.06	1.02	-94.17	-28.84	-160.85	
70	0.00	-1.12	-0.13	1.13	-94.21	-24.61	-166.44	
71	-0.08	-0.96	-0.06	0.97	-93.78	-22.66	-170.89	
72	-0.05	-0.88	-0.05	0.89	-93.60	-20.17	-175.86	
73	-0.08	-1.00	-0.11	1.01	-94.01	-17.31	178.92	
74	-0.04	-1.06	-0.07	1.06	-94.14	-18.83	177.94	
75	0.01	-0.96	0.00	0.96	-93.94	-29.83	-174.19	
76	-0.05	-1.07	0.06	1.08	-94.01	-45.12	-162.44	
77	-0.15	-0.91	-0.06	0.93	-94.15	-54.57	-157.20	
78	0.01	-1.00	-0.07	1.00	-95.02	-61.94	-153.41	
79	0.13	-1.05	-0.13	1.07	-96.21	-66.34	-152.90	
80	0.01	-0.86	0.04	0.86	-96.19	-65.57	-156.92	
81	-0.00	-0.74	0.06	0.74	-95.36	-61.44	-163.93	
82	-0.05	-0.90	-0.02	0.90	-94.52	-50.97	-177.00	
83	-0.00	-0.85	0.08	0.85	-93.34	-44.63	174.06	
84	-0.03	-0.63	0.03	0.63	-92.47	-29.77	156.34	
85	-0.11	-0.64	0.03	0.65	-92.02	-20.76	143.72	
86	-0.27	-0.63	-0.05	0.69	-92.66	-1.64	120.40	
87	-0.24	-0.93	-0.02	0.97	-93.30	0.72	113.47	
88	0.05	-0.73	0.04	0.74	-96.33	4.29	106.96	
89	-0.13	-0.91	0.15	0.93	-99.91	18.58	90.42	
90	-0.23	-0.83	-0.13	0.87	-102.93	20.52	84.72	
91	-0.14	-0.95	-0.35	1.02	-105.33	9.97	92.38	
92	-0.36	-0.89	-0.45	1.06	-108.18	-2.57	103.97	
93	0.21	-0.85	-0.44	0.98	-114.07	-13.07	117.33	
94	1.73	-0.95	-2.55	3.22	-122.33	-28.73	131.09	
95	0.59	-1.71	-0.07	1.81	-130.24	-25.73	143.46	
