Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.03	-1.00	0.09	1.00	-84.60	-20.17	-18.39	
1	0.01	-0.98	0.10	0.99	-85.16	-18.94	-17.25	
2	-0.00	-0.98	0.10	0.99	-85.69	-17.71	-16.34	
3	-0.01	-0.98	0.10	0.99	-86.20	-16.12	-15.10	
4	-0.02	-1.00	0.09	1.00	-86.90	-13.92	-13.33	
5	-0.03	-1.00	0.08	1.00	-87.70	-9.85	-9.49	
6	-0.03	-0.99	0.06	1.00	-88.43	-0.84	-0.52	
7	-0.03	-1.01	0.06	1.01	-88.94	25.14	25.59	
8	-0.06	-1.00	0.06	1.00	-88.80	70.45	71.31	
9	-0.07	-0.97	0.05	0.98	-91.98	86.23	95.20	
10	-0.10	-0.99	0.05	1.00	-93.08	74.92	107.31	
11	-0.13	-1.00	0.05	1.01	-94.15	69.76	113.39	
12	-0.12	-0.97	0.06	0.98	-94.86	67.75	116.33	
13	-0.15	-0.97	0.05	0.98	-95.50	66.33	118.70	
14	-0.08	-1.01	0.02	1.02	-95.97	61.65	124.22	
15	-0.13	-0.99	0.03	1.00	-96.63	58.01	128.40	
16	-0.12	-0.98	0.02	0.98	-97.37	54.28	132.62	
17	-0.09	-0.98	0.02	0.99	-98.03	48.86	138.34	
18	-0.12	-0.97	-0.01	0.98	-98.84	43.79	143.41	
19	-0.13	-1.00	0.01	1.00	-99.48	39.87	147.14	
20	-0.08	-0.97	0.05	0.97	-99.52	36.83	149.83	
21	-0.07	-1.02	0.05	1.02	-98.97	33.24	152.66	
22	-0.11	-1.12	-0.03	1.12	-98.47	28.09	156.41	
23	-0.07	-1.08	-0.11	1.09	-98.16	22.27	160.68	
24	-0.05	-0.91	-0.07	0.91	-97.81	18.74	163.19	
25	0.06	-0.99	-0.10	1.00	-97.57	10.11	170.79	
26	0.01	-1.09	-0.14	1.09	-97.81	2.17	177.54	
27	0.03	-0.95	-0.10	0.95	-97.62	-3.72	-177.25	
28	0.07	-0.94	-0.08	0.95	-97.65	-10.52	-170.76	
29	0.07	-1.00	-0.07	1.00	-98.10	-15.84	-165.67	
30	0.14	-1.01	-0.06	1.02	-98.57	-22.64	-159.25	
31	0.10	-1.02	-0.01	1.02	-99.47	-33.72	-149.64	
32	0.08	-1.03	-0.02	1.03	-99.48	-37.69	-146.31	
33	0.13	-1.00	-0.00	1.00	-99.59	-42.18	-142.04	
34	0.17	-0.97	-0.01	0.99	-99.85	-46.70	-137.48	
35	0.18	-0.97	-0.01	0.98	-100.02	-50.69	-133.66	
36	0.16	-0.98	-0.01	0.99	-100.04	-53.44	-131.35	
37	0.14	-1.00	-0.01	1.01	-99.95	-55.08	-130.24	
38	0.15	-1.00	0.01	1.01	-99.79	-55.94	-129.69	
39	0.17	-0.98	0.03	0.99	-99.76	-57.50	-128.43	
40	0.13	-0.97	0.04	0.98	-99.56	-58.47	-127.83	
41	0.13	-0.94	0.10	0.96	-99.17	-58.96	-127.47	
42	0.09	-0.93	0.12	0.94	-98.31	-58.32	-127.92	
43	0.07	-1.04	0.12	1.04	-97.11	-56.63	-128.72	
44	0.11	-1.04	0.11	1.05	-95.58	-57.71	-126.03	
45	0.04	-1.08	0.07	1.08	-93.96	-60.19	-121.61	
46	0.11	-0.94	-0.01	0.95	-93.96	-60.07	-120.64	
47	0.03	-0.92	0.02	0.93	-93.65	-60.16	-119.83	
48	0.02	-1.04	-0.06	1.05	-93.88	-40.66	-138.10	
49	0.01	-1.00	0.02	1.00	-93.83	-34.07	-144.33	
50	-0.04	-0.98	-0.02	0.98	-93.69	-20.55	-157.72	
51	-0.04	-1.03	-0.03	1.03	-94.22	-6.95	-171.33	
52	-0.11	-0.98	0.00	0.99	-94.50	6.72	174.94	
53	-0.13	-1.00	0.01	1.01	-95.11	19.97	161.91	
54	-0.15	-1.01	0.02	1.02	-95.79	28.23	154.25	
55	-0.07	-0.98	0.02	0.99	-96.25	31.19	152.00	
56	-0.07	-1.01	-0.00	1.01	-96.92	33.01	151.09	
57	-0.13	-0.98	-0.04	0.99	-97.79	35.71	149.40	
58	-0.12	-1.00	-0.02	1.00	-98.54	38.34	147.92	
59	-0.12	-0.97	-0.04	0.97	-99.14	39.91	147.42	
60	-0.09	-0.98	-0.01	0.98	-99.46	39.79	148.38	
61	-0.07	-1.03	0.00	1.04	-99.48	38.25	150.30	
62	-0.06	-1.04	0.00	1.04	-99.40	36.50	152.02	
63	-0.06	-1.00	0.02	1.00	-99.20	35.02	153.06	
64	-0.15	-1.01	0.02	1.02	-98.93	34.95	152.21	
65	-0.14	-1.01	0.00	1.02	-98.60	33.18	152.62	
66	-0.11	-1.00	-0.00	1.00	-97.82	30.01	154.21	
67	-0.09	-1.09	-0.06	1.09	-97.13	24.37	158.22	
68	-0.10	-1.03	-0.08	1.04	-96.63	20.13	161.19	
69	0.01	-0.90	-0.04	0.90	-95.89	13.48	167.02	
70	0.07	-0.94	-0.03	0.94	-95.31	1.90	177.70	
71	0.07	-1.00	-0.05	1.01	-95.10	-8.91	-172.35	
72	0.15	-0.95	-0.06	0.97	-95.20	-19.20	-162.65	
73	0.09	-1.05	-0.05	1.05	-95.39	-25.47	-157.00	
74	0.11	-1.02	-0.05	1.02	-95.90	-32.08	-151.00	
75	0.16	-0.96	-0.01	0.97	-96.40	-41.46	-142.25	
76	0.15	-0.98	-0.00	0.99	-96.97	-48.94	-135.63	
77	0.15	-1.01	0.01	1.02	-97.47	-53.78	-131.61	
78	0.15	-0.99	0.00	1.00	-97.88	-57.56	-128.45	
79	0.20	-0.99	-0.00	1.01	-98.52	-59.99	-126.81	
80	0.17	-0.98	0.01	0.99	-98.98	-62.31	-125.52	
81	0.14	-0.98	0.02	0.99	-99.38	-63.57	-125.22	
82	0.13	-0.97	0.05	0.98	-99.62	-64.37	-125.15	
83	0.14	-0.95	0.08	0.96	-99.61	-65.18	-124.79	
84	0.15	-0.97	0.08	0.99	-99.60	-65.27	-124.89	
85	0.11	-0.97	0.09	0.98	-99.14	-64.85	-125.06	
86	0.10	-0.99	0.12	1.01	-98.17	-65.63	-123.33	
87	0.16	-0.93	0.19	0.96	-96.95	-73.60	-113.78	
