Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.01	-0.92	0.35	0.98	-69.09	-2.08	-1.43	
1	0.01	-0.90	0.35	0.96	-69.48	-1.63	-1.06	
2	0.01	-0.92	0.36	0.98	-70.36	-1.66	-0.96	
3	0.01	-0.96	0.32	1.01	-71.40	-1.89	-1.00	
4	0.02	-0.93	0.31	0.98	-72.50	-2.37	-1.28	
5	0.02	-0.95	0.30	1.00	-73.17	-2.16	-1.01	
6	-0.02	-0.92	0.32	0.98	-73.59	-2.33	-0.93	
7	0.02	-0.95	0.30	1.00	-74.04	-3.20	-1.80	
8	0.01	-0.97	0.33	1.02	-72.37	0.21	0.76	
9	-0.06	-0.95	0.38	1.03	-71.95	1.40	1.48	
10	0.02	-0.94	0.36	1.01	-72.21	1.20	1.19	
11	-0.03	-0.92	0.36	0.99	-72.66	1.36	1.32	
12	-0.01	-0.90	0.35	0.96	-73.14	1.25	1.25	
13	-0.02	-0.92	0.33	0.98	-73.67	1.24	1.17	
14	-0.03	-0.92	0.34	0.98	-74.13	1.43	1.33	
15	-0.02	-0.91	0.33	0.97	-74.65	1.37	1.23	
16	-0.04	-0.93	0.31	0.99	-75.27	1.25	1.07	
17	-0.00	-0.91	0.31	0.96	-75.85	1.01	0.84	
18	-0.04	-0.95	0.30	1.00	-76.74	0.72	0.43	
19	-0.01	-0.93	0.27	0.97	-77.65	-0.30	-0.74	
20	0.04	-0.97	0.26	1.00	-78.60	-2.70	-3.38	
21	0.06	-0.96	0.24	0.99	-79.26	-7.14	-8.41	
22	0.14	-0.99	0.24	1.02	-79.44	-15.45	-18.05	
23	0.18	-0.99	0.19	1.02	-79.24	-25.54	-29.98	
24	0.05	-0.96	0.27	1.00	-78.84	-31.46	-38.08	
25	0.06	-0.96	0.27	0.99	-78.77	-36.43	-43.93	
26	0.13	-0.91	0.25	0.95	-78.88	-41.65	-48.80	
27	0.22	-0.91	0.24	0.96	-78.84	-46.33	-52.60	
28	0.24	-0.91	0.26	0.98	-78.76	-49.12	-54.64	
29	0.22	-0.92	0.27	0.98	-78.77	-49.49	-54.88	
30	0.21	-0.94	0.25	1.00	-78.95	-48.27	-54.06	
31	0.21	-0.90	0.24	0.96	-79.20	-45.22	-51.46	
32	0.15	-0.94	0.30	1.00	-79.39	-38.74	-45.06	
33	0.02	-1.05	0.20	1.07	-80.07	-30.70	-36.49	
34	-0.02	-1.02	0.21	1.05	-79.99	-21.78	-26.44	
35	0.17	-0.95	0.17	0.98	-79.60	-18.67	-21.88	
36	0.03	-0.99	0.15	1.00	-79.97	-14.74	-17.32	
37	-0.09	-0.95	0.16	0.97	-80.35	-7.72	-10.28	
38	-0.08	-0.96	0.20	0.98	-80.61	-0.06	-2.87	
39	-0.14	-0.97	0.23	1.01	-80.61	8.45	4.95	
40	-0.19	-0.98	0.24	1.02	-80.21	16.59	12.46	
41	-0.15	-0.94	0.20	0.97	-79.92	24.00	19.60	
42	-0.19	-0.94	0.20	0.99	-79.72	31.92	27.62	
43	-0.18	-0.90	0.20	0.94	-79.57	39.05	35.11	
44	-0.14	-0.92	0.23	0.96	-79.72	44.09	40.40	
45	-0.14	-0.94	0.17	0.97	-80.29	48.36	44.49	
46	-0.17	-0.94	0.24	0.98	-80.66	49.45	45.30	
47	-0.07	-0.98	0.29	1.02	-81.02	44.44	39.97	
48	-0.08	-0.94	0.30	0.99	-81.08	35.64	30.32	
49	-0.03	-1.03	0.30	1.07	-80.74	23.70	17.00	
50	-0.04	-1.01	0.18	1.02	-80.10	14.13	5.66	
51	-0.12	-0.94	0.03	0.95	-80.37	10.87	1.33	
52	0.10	-1.00	0.13	1.01	-80.91	3.15	-7.29	
53	0.01	-1.05	0.22	1.07	-80.97	-7.39	-19.51	
54	0.09	-0.96	0.26	1.00	-80.39	-15.50	-28.75	
55	0.01	-0.94	0.26	0.98	-80.02	-21.44	-35.33	
56	0.08	-0.90	0.24	0.93	-79.91	-27.72	-42.05	
57	0.15	-0.91	0.25	0.96	-79.61	-34.16	-48.62	
58	0.25	-0.88	0.27	0.95	-79.15	-40.48	-55.14	
59	0.16	-0.90	0.26	0.95	-79.14	-43.94	-59.17	
60	0.21	-0.94	0.28	1.00	-79.24	-44.09	-59.30	
61	0.13	-0.96	0.24	1.00	-79.84	-40.81	-55.60	
62	0.18	-0.93	0.27	0.99	-79.65	-31.00	-45.16	
63	-0.28	-1.22	0.11	1.25	-81.08	-18.47	-31.77	
64	0.03	-0.86	0.08	0.87	-81.29	-12.90	-24.27	
65	0.09	-1.11	0.17	1.13	-81.47	-10.12	-19.54	
66	-0.09	-1.04	0.12	1.05	-82.16	-2.74	-11.39	
67	-0.06	-0.91	0.21	0.93	-81.69	5.74	-2.89	
68	-0.13	-0.96	0.15	0.98	-82.11	14.98	5.85	
69	-0.21	-0.94	0.17	0.98	-82.30	26.30	17.01	
70	-0.11	-0.98	0.17	1.00	-82.41	33.51	24.76	
71	-0.11	-0.97	0.14	0.99	-82.83	42.19	33.87	
72	-0.07	-0.94	0.19	0.96	-83.11	47.27	39.09	
73	-0.15	-0.94	0.17	0.97	-83.37	51.73	43.32	
74	-0.16	-0.93	0.19	0.96	-83.39	51.29	42.66	
75	-0.00	-0.93	0.18	0.95	-84.02	42.68	33.52	
76	-0.03	-1.06	0.21	1.09	-84.04	26.59	16.19	
77	-0.01	-1.21	0.16	1.22	-83.61	13.67	1.99	
78	-0.17	-0.87	0.18	0.91	-82.54	12.36	-0.21	
79	-0.05	-0.92	0.19	0.94	-81.49	6.33	-6.88	
80	0.07	-1.02	0.05	1.03	-82.04	-1.27	-15.10	
81	0.02	-0.89	0.11	0.90	-81.99	-7.65	-22.40	
82	0.08	-0.98	0.11	0.99	-82.43	-15.38	-30.63	
83	0.05	-0.99	0.10	1.00	-83.06	-23.13	-38.72	
84	0.07	-0.99	0.12	1.00	-83.60	-31.52	-47.35	
85	0.11	-0.99	0.16	1.01	-83.60	-39.35	-55.25	
86	0.06	-0.97	0.12	0.98	-83.58	-45.95	-62.30	
87	0.09	-0.95	0.12	0.97	-83.41	-52.45	-69.08	
88	0.14	-1.03	0.18	1.05	-82.76	-55.51	-72.26	
89	0.10	-0.99	0.10	1.00	-82.24	-58.69	-75.80	
90	0.11	-0.99	0.17	1.01	-81.74	-59.74	-76.69	
91	0.14	-0.97	0.16	0.99	-81.18	-59.90	-76.37	
92	0.12	-0.97	0.15	0.99	-80.78	-58.91	-75.22	
93	0.13	-0.97	0.15	0.99	-80.51	-57.84	-73.64	
94	0.12	-0.98	0.16	1.00	-80.45	-56.43	-71.59	
95	0.12	-0.95	0.15	0.97	-80.39	-55.81	-70.40	
96	0.13	-1.00	0.19	1.03	-80.25	-53.84	-68.05	
97	0.10	-0.96	0.13	0.97	-80.22	-52.84	-66.53	
98	0.18	-0.94	0.15	0.97	-80.04	-53.44	-66.67	
99	0.14	-0.98	0.16	1.00	-80.01	-53.99	-67.06	
100	0.13	-0.99	0.19	1.01	-79.82	-53.10	-66.10	
101	0.14	-0.97	0.15	1.00	-79.59	-52.91	-66.03	
102	0.18	-0.95	0.17	0.98	-79.23	-54.04	-67.17	
103	0.15	-0.98	0.18	1.01	-78.50	-54.99	-69.31	
104	0.17	-0.95	0.19	0.98	-78.08	-54.86	-69.77	
105	0.14	-0.95	0.18	0.97	-77.83	-54.86	-70.36	
106	0.16	-0.97	0.19	1.00	-77.76	-55.14	-71.13	
107	0.11	-0.97	0.22	1.00	-77.87	-54.35	-70.68	
108	0.16	-0.98	0.18	1.01	-78.03	-54.59	-70.98	
