Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.03	-0.87	0.47	0.99	-61.24	3.21	1.90	
1	-0.02	-0.84	0.49	0.98	-60.42	3.33	1.63	
2	-0.04	-0.83	0.50	0.97	-60.38	3.75	1.76	
3	-0.02	-0.85	0.58	1.03	-55.42	3.43	-1.62	
4	-0.05	-0.79	0.71	1.06	-53.09	3.43	-3.62	
5	-0.02	-1.08	0.06	1.08	-70.99	5.88	3.61	
6	-0.05	-0.90	0.39	0.98	-72.52	7.98	7.04	
7	-0.06	-0.90	0.38	0.97	-74.33	9.79	9.83	
8	-0.04	-0.92	0.35	0.98	-75.98	9.41	9.97	
9	-0.02	-0.91	0.33	0.97	-77.41	11.12	12.07	
10	-0.03	-0.94	0.32	0.99	-78.48	10.03	9.64	
11	-0.04	-0.93	0.32	0.98	-79.32	8.09	6.58	
12	-0.04	-0.91	0.34	0.97	-79.71	7.77	6.03	
13	-0.04	-0.92	0.33	0.98	-80.22	7.99	6.10	
14	-0.04	-0.93	0.30	0.98	-80.66	8.86	6.95	
15	-0.04	-0.95	0.30	1.00	-81.19	10.29	8.47	
16	-0.03	-0.94	0.29	0.98	-81.85	11.62	9.95	
17	-0.04	-0.92	0.30	0.97	-82.15	13.75	12.38	
18	-0.04	-0.94	0.28	0.98	-82.67	15.58	14.47	
19	-0.03	-0.95	0.27	0.98	-83.30	16.14	15.18	
20	-0.01	-0.95	0.24	0.98	-84.13	15.50	14.48	
21	0.02	-0.94	0.22	0.97	-84.90	13.09	11.60	
22	0.07	-0.93	0.20	0.96	-85.97	6.81	4.18	
23	0.09	-0.94	0.20	0.97	-87.24	-6.02	-10.49	
24	0.00	-1.00	0.29	1.04	-87.09	-11.69	-18.58	
25	-0.06	-0.98	0.25	1.01	-87.32	-13.53	-22.13	
26	0.05	-0.95	0.16	0.96	-87.47	-28.79	-38.48	
27	0.07	-0.99	0.17	1.01	-87.61	-54.47	-65.08	
28	0.10	-1.01	0.04	1.01	-92.79	-82.93	-108.20	
29	0.03	-0.97	0.11	0.97	-93.52	-67.15	-124.38	
30	0.01	-0.98	0.14	0.99	-94.37	-53.48	-138.71	
31	-0.00	-0.98	0.15	1.00	-95.73	-40.40	-152.33	
32	-0.04	-0.99	0.17	1.00	-96.40	-35.76	-157.27	
33	0.08	-0.99	0.08	0.99	-96.82	-34.58	-158.65	
34	-0.02	-1.04	0.15	1.05	-96.92	-29.38	-163.68	
35	-0.07	-1.12	0.03	1.12	-97.42	-16.37	-175.12	
36	0.21	-0.99	-0.05	1.01	-97.38	-11.44	-178.44	
37	0.08	-1.04	0.03	1.04	-97.04	-12.95	-176.81	
38	0.00	-0.95	-0.01	0.95	-96.68	-10.73	-178.97	
39	-0.03	-0.99	-0.05	0.99	-96.49	-6.76	176.91	
40	-0.12	-0.95	-0.12	0.96	-96.73	1.48	169.09	
41	-0.13	-0.93	-0.05	0.94	-97.47	11.06	160.87	
42	-0.06	-1.09	-0.04	1.10	-98.50	17.24	156.04	
43	-0.11	-1.04	-0.08	1.05	-99.72	21.85	152.06	
44	-0.13	-0.94	-0.05	0.96	-100.49	25.38	148.64	
45	-0.15	-0.95	-0.04	0.96	-101.23	27.64	146.37	
46	-0.18	-0.97	-0.07	0.99	-102.22	29.37	144.62	
47	-0.19	-0.97	-0.06	0.99	-103.25	30.14	144.13	
48	-0.17	-0.98	-0.05	1.00	-104.00	30.20	144.50	
49	-0.14	-0.97	-0.02	0.98	-104.32	29.38	145.53	
50	-0.13	-0.97	-0.03	0.98	-104.52	27.93	147.05	
51	-0.07	-0.99	0.04	0.99	-104.09	25.24	149.15	
52	-0.13	-1.00	0.05	1.01	-103.11	22.46	150.82	
53	-0.15	-1.00	0.10	1.01	-101.33	19.91	152.05	
54	-0.09	-1.16	0.04	1.17	-99.23	18.14	152.73	
55	-0.08	-1.04	-0.07	1.05	-98.37	19.97	150.55	
56	-0.11	-1.06	0.03	1.07	-97.10	25.48	144.85	
57	-0.04	-1.02	-0.12	1.03	-96.68	21.74	147.44	
58	-0.08	-0.84	-0.05	0.85	-95.96	15.80	152.30	
59	-0.03	-1.09	-0.01	1.09	-95.62	7.20	161.00	
60	0.09	-1.06	-0.02	1.07	-95.79	-1.22	170.47	
61	0.13	-0.95	0.03	0.96	-95.78	-9.99	-179.60	
62	0.09	-0.97	0.04	0.98	-96.37	-17.47	-171.67	
63	0.05	-0.91	0.07	0.91	-97.05	-20.42	-168.52	
64	0.10	-0.91	0.06	0.92	-97.53	-21.56	-167.07	
65	0.11	-0.97	0.10	0.98	-98.23	-21.06	-167.47	
66	0.02	-1.01	0.11	1.02	-98.94	-16.95	-171.29	
67	0.10	-1.09	0.01	1.10	-100.18	-13.01	-174.79	
68	0.02	-1.02	0.08	1.03	-100.15	-10.59	-177.00	
69	-0.06	-1.03	0.09	1.03	-99.53	-7.40	-179.61	
70	0.09	-1.03	-0.09	1.04	-99.14	-3.80	177.92	
71	0.02	-1.04	-0.16	1.05	-99.59	-3.36	177.73	
72	-0.08	-0.99	-0.17	1.00	-99.70	-0.97	175.61	
73	-0.07	-0.91	-0.06	0.91	-100.09	4.19	171.19	
74	-0.10	-1.08	-0.10	1.09	-101.21	8.58	167.33	
75	-0.19	-1.00	-0.14	1.03	-102.75	14.24	161.98	
76	-0.12	-0.96	-0.08	0.97	-103.54	18.56	158.50	
77	-0.12	-0.96	-0.06	0.97	-104.27	22.24	156.01	
78	-0.14	-0.94	-0.06	0.95	-104.90	24.21	155.05	
79	-0.15	-0.98	-0.03	0.99	-105.08	25.17	155.06	
80	-0.16	-1.06	-0.04	1.07	-105.48	24.33	156.68	
81	-0.17	-1.03	-0.11	1.05	-105.65	24.25	157.83	
82	0.01	-1.00	0.06	1.00	-104.78	24.98	158.37	
83	-0.12	-1.07	-0.12	1.08	-103.87	23.23	159.91	
84	-0.17	-0.98	-0.24	1.02	-103.86	21.24	161.80	
85	-0.00	-1.00	-0.23	1.03	-103.48	20.23	163.38	
86	-0.02	-0.94	-0.14	0.95	-102.67	16.87	166.33	
