Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.06	-1.00	0.02	1.00	-86.34	74.96	71.45	
1	-0.04	-1.00	-0.00	1.00	-93.68	88.02	88.51	
2	-0.05	-0.99	0.02	1.00	-93.96	78.21	98.29	
3	-0.05	-0.99	-0.01	1.00	-94.41	69.12	107.36	
4	-0.06	-0.99	-0.00	0.99	-94.97	63.01	113.42	
5	-0.11	-1.09	-0.02	1.10	-95.63	57.55	118.73	
6	-0.09	-0.88	0.12	0.89	-95.86	59.33	116.75	
7	-0.19	-1.15	-0.02	1.17	-97.45	40.82	134.93	
8	-0.17	-1.06	-0.08	1.07	-99.53	32.56	143.83	
9	-0.12	-0.71	-0.06	0.72	-101.20	32.12	144.77	
10	-0.15	-0.89	-0.07	0.90	-102.51	32.51	144.92	
11	-0.11	-0.86	-0.15	0.88	-103.12	37.41	140.55	
12	-0.29	-1.07	-0.01	1.11	-103.18	49.59	129.09	
13	-0.21	-0.96	0.00	0.99	-103.60	51.53	128.17	
14	-0.16	-0.98	-0.04	1.00	-104.03	50.98	129.69	
15	-0.16	-0.97	-0.03	0.99	-104.67	49.29	132.31	
16	-0.16	-0.97	-0.03	0.99	-105.28	47.48	134.79	
17	-0.16	-0.98	-0.03	0.99	-105.86	45.83	136.96	
18	-0.14	-0.97	-0.01	0.98	-105.87	44.33	138.61	
19	-0.18	-0.99	-0.05	1.01	-105.93	41.74	140.70	
20	-0.22	-0.98	-0.02	1.00	-105.60	39.93	141.73	
21	-0.12	-0.99	0.01	0.99	-104.57	37.97	142.61	
22	-0.17	-1.04	-0.05	1.06	-103.23	37.76	141.37	
23	-0.18	-1.23	-0.17	1.25	-102.83	35.86	142.46	
24	-0.12	-0.96	-0.05	0.97	-101.87	35.40	143.11	
25	-0.13	-0.94	-0.07	0.95	-100.96	34.88	143.48	
26	-0.10	-0.96	-0.27	1.00	-102.07	30.13	148.05	
27	-0.02	-0.92	-0.27	0.96	-103.14	25.09	153.25	
28	-0.01	-1.01	-0.32	1.06	-104.53	19.68	157.99	
29	-0.02	-1.11	-0.29	1.14	-105.80	15.06	162.05	
30	0.03	-1.01	-0.22	1.04	-106.20	10.46	166.81	
31	0.01	-0.94	-0.16	0.95	-106.61	7.09	170.38	
32	0.08	-0.97	-0.20	0.99	-107.71	1.78	175.50	
33	0.03	-0.97	-0.23	1.00	-108.65	-1.81	178.66	
34	0.10	-0.95	-0.11	0.96	-108.58	-5.26	-178.44	
35	0.06	-0.95	-0.14	0.96	-109.29	-6.67	-177.62	
36	0.08	-1.01	-0.11	1.02	-109.45	-6.94	-177.48	
37	0.03	-1.09	-0.20	1.11	-109.68	-5.03	-178.99	
38	0.09	-0.95	-0.16	0.97	-109.16	-4.26	-179.39	
39	0.06	-1.10	-0.11	1.11	-108.06	-4.38	-179.52	
40	0.06	-0.99	-0.02	1.00	-106.01	-4.43	-179.64	
41	0.03	-1.10	-0.10	1.11	-104.47	-1.70	178.54	
42	0.05	-1.17	-0.19	1.18	-103.74	-0.50	178.38	
43	-0.03	-1.00	-0.18	1.02	-102.94	1.48	176.79	
44	-0.08	-0.86	-0.23	0.89	-102.98	6.36	173.07	
45	-0.11	-0.82	-0.28	0.87	-104.01	9.66	171.11	
46	-0.19	-1.06	-0.36	1.14	-105.79	13.05	169.07	
47	-0.09	-1.02	-0.27	1.06	-106.51	16.77	166.29	
48	-0.20	-0.94	-0.24	0.99	-106.97	21.77	161.31	
49	-0.16	-1.00	-0.16	1.03	-107.45	26.26	156.74	
