Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.16	-1.01	-0.07	1.03	-99.71	-67.61	-103.10	
1	0.15	-0.99	-0.00	1.00	-101.03	-67.23	-104.93	
2	0.16	-0.99	-0.00	1.00	-102.21	-67.89	-105.65	
3	0.16	-0.97	0.01	0.98	-103.14	-68.47	-106.40	
4	0.20	-1.00	-0.01	1.02	-103.94	-69.30	-106.62	
5	0.21	-0.93	0.01	0.96	-104.46	-71.16	-106.00	
6	0.21	-0.98	0.03	1.00	-104.72	-72.83	-105.75	
7	0.22	-1.00	0.02	1.02	-104.87	-74.51	-105.51	
8	0.19	-0.99	0.04	1.01	-105.03	-76.40	-104.94	
9	0.22	-0.92	0.09	0.95	-105.19	-79.64	-102.55	
10	0.20	-0.95	0.12	0.98	-104.99	-82.27	-100.37	
11	0.24	-0.94	0.16	0.98	-104.58	-85.91	-96.71	
12	0.26	-0.92	0.18	0.97	-75.83	-88.64	-91.23	
13	0.18	-1.04	0.12	1.07	-76.93	-82.52	-84.76	
14	0.06	-1.21	-0.14	1.22	-78.04	-88.52	-90.00	
15	0.10	-0.79	0.13	0.81	-77.82	-79.28	-79.89	
16	0.28	-1.06	0.01	1.10	-77.94	-81.35	-80.57	
17	0.06	-1.06	-0.00	1.06	-79.10	-83.35	-81.51	
18	0.05	-0.95	-0.05	0.95	-80.30	-85.11	-82.34	
19	-0.00	-1.02	-0.02	1.02	-97.96	-89.11	-87.14	
20	-0.08	-1.00	-0.03	1.00	-95.92	-78.43	-96.80	
21	-0.07	-1.00	0.01	1.00	-94.23	-60.58	-113.64	
22	-0.06	-1.01	0.03	1.01	-93.46	-32.65	-140.51	
23	-0.02	-1.03	-0.00	1.03	-94.20	-3.02	-168.92	
24	-0.11	-0.97	0.01	0.98	-95.26	16.42	173.21	
25	-0.07	-0.94	0.02	0.94	-96.56	27.47	163.77	
26	-0.05	-0.94	0.02	0.94	-98.01	30.49	161.95	
27	-0.07	-0.95	0.07	0.95	-98.93	29.96	162.91	
28	-0.10	-1.02	0.04	1.02	-99.37	25.67	167.00	
29	-0.02	-0.98	-0.03	0.98	-99.49	17.31	174.72	
30	0.03	-1.12	0.07	1.13	-98.86	7.39	-175.68	
31	0.06	-1.16	-0.16	1.17	-99.29	-0.30	-169.13	
32	-0.04	-0.92	-0.17	0.94	-99.46	-4.04	-166.77	
33	0.08	-0.97	-0.16	0.99	-99.80	-13.70	-158.71	
34	0.19	-1.00	-0.18	1.04	-101.04	-25.07	-149.21	
35	0.24	-1.00	-0.07	1.03	-101.60	-37.24	-138.77	
36	0.20	-0.97	-0.08	1.00	-102.15	-46.21	-131.18	
37	0.15	-0.97	-0.09	0.98	-102.92	-49.94	-128.31	
38	0.19	-0.95	-0.08	0.97	-104.11	-51.53	-127.19	
39	0.23	-0.94	0.01	0.96	-105.03	-54.59	-124.42	
40	0.28	-0.91	0.02	0.95	-105.85	-56.65	-122.28	
41	0.25	-0.92	0.06	0.96	-106.18	-57.37	-121.35	
42	0.24	-0.92	0.10	0.96	-105.66	-57.89	-120.23	
43	0.33	-1.06	-0.05	1.11	-105.01	-57.08	-120.40	
44	0.07	-1.03	-0.05	1.03	-103.60	-55.06	-121.87	
45	0.04	-1.12	-0.19	1.14	-102.40	-49.52	-125.42	
46	0.16	-0.96	-0.17	0.99	-101.37	-45.56	-126.90	
47	0.04	-0.98	-0.19	1.00	-100.31	-35.12	-134.41	
48	-0.06	-1.05	-0.15	1.06	-99.56	-22.19	-144.55	
49	0.02	-0.97	-0.13	0.98	-98.91	-10.73	-153.69	
50	0.04	-1.00	-0.13	1.01	-99.11	-1.48	-161.41	
51	-0.08	-1.00	-0.11	1.01	-99.72	8.29	-170.56	
52	-0.15	-0.96	-0.07	0.98	-100.25	18.15	-179.37	
53	-0.07	-0.95	-0.08	0.95	-100.77	24.95	175.16	
54	-0.09	-0.98	-0.06	0.99	-101.32	28.91	172.41	
55	-0.03	-0.99	-0.07	0.99	-101.75	30.03	172.16	
56	-0.04	-0.99	-0.03	0.99	-101.88	28.97	173.46	
57	-0.13	-0.98	-0.08	0.99	-102.13	27.37	174.85	
58	0.07	-1.03	0.01	1.03	-101.57	22.73	178.91	
59	0.01	-0.97	0.05	0.97	-100.18	16.92	-176.87	
