Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.17	-1.01	0.07	1.03	-79.81	-67.56	-58.45	
1	0.20	-0.95	0.12	0.97	-78.80	-71.65	-63.62	
2	0.18	-0.96	0.14	0.99	-77.71	-73.38	-66.66	
3	0.20	-0.95	0.12	0.98	-76.82	-75.24	-69.55	
4	0.21	-0.95	0.11	0.98	-76.06	-77.51	-72.82	
5	0.21	-0.94	0.11	0.97	-75.52	-80.41	-76.77	
6	0.22	-0.96	0.11	0.99	-75.03	-82.86	-80.30	
7	0.20	-0.96	0.14	0.99	-74.72	-84.78	-83.25	
8	0.17	-0.94	0.16	0.96	-74.75	-85.89	-84.91	
9	0.26	-0.95	0.14	1.00	-76.22	-84.11	-82.85	
10	0.11	-0.89	0.17	0.91	-77.81	-80.52	-78.69	
11	0.04	-1.23	0.08	1.24	-80.32	-80.72	-77.19	
12	0.03	-1.24	-0.27	1.27	-98.51	-78.17	-95.18	
13	0.28	-0.77	-0.04	0.82	-98.19	-76.10	-94.45	
14	0.11	-0.97	-0.06	0.98	-97.21	-61.69	-105.54	
15	-0.05	-1.08	-0.19	1.10	-97.37	-31.60	-132.51	
16	-0.08	-0.96	-0.14	0.98	-97.27	-10.03	-151.28	
17	-0.16	-0.94	-0.19	0.97	-98.72	9.19	-167.81	
18	-0.06	-0.97	-0.12	0.98	-101.17	18.54	-173.94	
19	-0.10	-1.01	-0.09	1.01	-103.20	24.51	-177.39	
20	-0.17	-0.85	-0.19	0.89	-105.42	28.89	-179.95	
21	-0.17	-1.12	-0.17	1.15	-107.16	31.19	179.30	
22	-0.15	-1.04	-0.10	1.05	-107.29	31.24	179.64	
23	-0.18	-0.91	-0.10	0.93	-106.42	33.85	177.75	
24	-0.03	-0.96	-0.16	0.97	-105.88	32.33	-179.73	
25	-0.05	-0.94	-0.21	0.96	-105.78	26.56	-174.48	
26	0.08	-0.91	-0.25	0.95	-105.76	16.55	-166.33	
27	0.36	-1.15	-0.37	1.26	-107.81	0.20	-153.72	
28	0.13	-0.93	-0.34	1.00	-109.51	-9.60	-149.79	
29	-0.13	-1.08	-0.06	1.09	-108.30	-17.07	-148.60	
30	-0.17	-1.30	-0.19	1.33	-109.00	-21.94	-147.66	
31	0.12	-0.92	-0.16	0.94	-109.38	-25.97	-143.95	
32	0.33	-0.84	-0.07	0.90	-109.44	-32.82	-136.21	
33	0.25	-0.93	-0.12	0.97	-110.05	-37.59	-131.24	
34	0.16	-0.87	-0.14	0.90	-110.79	-38.67	-129.57	
35	0.14	-0.84	-0.16	0.86	-110.34	-36.47	-129.64	
36	0.12	-0.87	-0.25	0.92	-110.16	-28.67	-134.21	
37	-0.14	-0.70	-0.63	0.95	-110.18	-10.34	-146.92	
38	0.44	-1.24	-0.03	1.31	-112.86	2.91	-150.73	
39	0.52	-0.65	-0.28	0.88	-111.76	0.49	-147.24	
40	-0.19	-1.11	-0.11	1.13	-113.33	4.32	-151.31	
41	-0.24	-1.01	-0.11	1.05	-112.49	9.41	-156.07	
42	-0.02	-1.03	-0.18	1.04	-111.70	12.35	-158.83	
43	-0.06	-0.96	-0.19	0.98	-110.81	12.99	-160.56	
44	-0.05	-0.99	-0.12	1.00	-109.33	11.70	-161.24	
45	-0.13	-0.83	-0.20	0.87	-107.62	8.62	-161.12	
46	-0.09	-1.06	-0.34	1.12	-106.69	1.01	-157.39	
47	0.06	-0.95	-0.52	1.09	-108.16	-7.52	-152.48	
48	0.19	-1.05	-0.07	1.07	-107.89	-14.81	-147.97	
49	0.25	-1.08	-0.07	1.11	-107.82	-21.78	-144.14	
50	0.07	-1.12	0.01	1.13	-107.42	-30.43	-139.43	
51	0.25	-0.88	-0.05	0.92	-107.65	-38.35	-133.65	
52	0.27	-0.88	-0.05	0.92	-108.37	-45.15	-128.84	
53	0.24	-0.95	-0.03	0.98	-109.02	-49.84	-126.12	
54	0.24	-0.97	-0.05	1.00	-109.34	-51.99	-125.15	
55	0.22	-0.95	-0.06	0.97	-109.20	-53.32	-124.97	
56	0.15	-0.94	-0.09	0.95	-108.49	-52.78	-125.98	
57	0.12	-0.86	-0.14	0.88	-107.40	-48.01	-130.28	
58	0.00	-0.87	-0.27	0.91	-106.18	-33.50	-142.59	
59	-0.01	-1.08	-0.50	1.19	-108.77	-12.62	-157.83	
60	0.36	-1.03	-0.10	1.10	-109.45	-6.72	-160.78	
61	0.06	-1.11	-0.06	1.11	-109.19	-4.24	-162.94	
62	-0.12	-0.90	-0.17	0.92	-109.59	0.57	-167.51	
63	0.04	-0.93	-0.12	0.94	-109.10	3.65	-170.04	
64	-0.06	-1.06	-0.19	1.08	-108.72	4.86	-171.98	
65	-0.09	-1.02	-0.17	1.04	-107.99	5.19	-173.97	
66	-0.11	-0.97	-0.16	0.99	-106.45	5.32	-175.58	
67	-0.15	-0.95	-0.21	0.98	-105.38	4.68	-176.64	
68	-0.18	-0.94	-0.21	0.98	-104.49	2.54	-176.31	
69	-0.15	-0.97	-0.28	1.02	-104.35	-1.61	-173.28	
70	0.02	-1.00	-0.35	1.06	-105.15	-6.40	-168.51	
71	0.21	-1.11	-0.27	1.16	-105.94	-13.11	-162.42	
72	0.16	-0.90	-0.13	0.92	-105.69	-18.66	-158.64	
73	0.22	-1.01	-0.12	1.04	-105.76	-25.88	-153.96	
74	0.05	-1.03	-0.05	1.03	-105.41	-32.81	-150.70	
75	0.07	-1.15	-0.08	1.15	-105.64	-37.44	-148.96	
76	0.13	-0.97	-0.05	0.98	-105.92	-39.59	-147.60	
77	0.19	-0.96	-0.03	0.98	-106.09	-43.45	-143.88	
78	0.18	-0.92	-0.01	0.94	-106.09	-48.31	-139.21	
79	0.25	-0.95	-0.03	0.98	-106.18	-52.51	-134.79	
80	0.22	-0.99	-0.08	1.02	-106.39	-53.74	-132.87	
