Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.02	-0.99	0.05	0.99	-86.82	26.57	25.18	
1	-0.02	-0.99	0.05	0.99	-87.93	40.75	39.33	
2	-0.03	-0.99	0.05	1.00	-88.41	76.10	74.67	
3	-0.03	-0.99	0.06	1.00	-91.56	71.71	106.88	
4	-0.03	-0.98	0.19	1.00	-87.09	18.42	16.26	
5	-0.03	-0.93	0.33	0.99	-85.04	6.07	3.92	
6	-0.01	-0.98	0.12	0.99	-92.30	25.65	152.18	
7	-0.01	-0.98	0.08	0.99	-92.65	24.31	154.20	
8	-0.01	-0.96	0.08	0.97	-93.07	16.13	162.99	
9	-0.02	-1.03	0.09	1.03	-92.93	5.58	174.29	
10	-0.03	-0.98	0.12	0.98	-92.75	5.59	174.41	
11	-0.00	-0.98	0.08	0.99	-93.39	9.11	171.99	
12	-0.01	-0.98	0.09	0.98	-93.70	9.48	172.02	
13	-0.00	-1.00	0.07	1.00	-94.03	9.54	172.13	
14	-0.01	-0.99	0.07	0.99	-94.30	9.45	172.34	
15	0.00	-1.00	0.06	1.00	-94.54	7.73	174.02	
16	-0.01	-0.99	0.05	1.00	-94.65	6.01	175.55	
17	-0.01	-0.99	0.06	0.99	-94.73	4.19	177.08	
18	-0.01	-1.00	0.06	1.00	-94.84	2.48	178.47	
19	0.01	-1.01	0.05	1.01	-94.88	0.23	-179.66	
20	0.01	-0.98	0.02	0.98	-95.10	-1.85	-177.95	
21	0.02	-1.01	0.03	1.01	-95.37	-5.81	-174.57	
22	0.01	-1.00	0.04	1.00	-95.45	-10.63	-170.44	
23	0.04	-1.00	0.04	1.00	-95.88	-14.46	-167.17	
24	0.02	-0.97	0.06	0.97	-96.06	-17.58	-164.60	
25	0.04	-1.01	0.03	1.02	-96.47	-18.86	-163.79	
26	0.07	-0.99	0.03	1.00	-96.70	-21.64	-161.21	
27	0.12	-1.02	0.05	1.03	-96.95	-26.96	-156.15	
28	0.15	-1.00	0.04	1.01	-97.30	-35.97	-147.84	
29	0.20	-1.01	0.04	1.03	-97.99	-46.38	-138.91	
