Time	Ax	Ay	Az	Asum	gx	gy	gz
0	0.03	-0.94	0.23	0.96	-76.15	-6.44	-5.05	
1	0.00	-0.87	0.24	0.91	-76.20	-10.87	-9.21	
2	0.05	-0.96	0.24	0.99	-75.90	-15.46	-12.61	
3	0.09	-0.90	0.26	0.94	-75.43	-18.07	-14.38	
4	0.09	-0.73	0.26	0.78	-74.31	-18.79	-14.22	
5	0.08	-1.01	0.25	1.04	-73.97	-17.35	-11.79	
6	0.09	-0.79	0.18	0.81	-74.45	-17.04	-11.45	
7	0.10	-1.08	0.29	1.13	-74.95	-17.75	-11.89	
8	0.11	-1.08	0.30	1.13	-75.24	-17.90	-11.87	
9	0.08	-0.99	0.27	1.03	-75.21	-16.79	-10.59	
10	0.06	-0.98	0.26	1.01	-75.62	-15.88	-9.51	
11	-0.02	-0.73	0.16	0.75	-76.85	-14.58	-8.28	
12	0.00	-0.66	0.13	0.68	-78.52	-10.61	-4.17	
13	0.00	-1.03	0.26	1.06	-78.88	-10.88	-4.62	
14	-0.01	-0.95	0.24	0.98	-78.99	-9.93	-3.76	
15	0.01	-0.96	0.22	0.98	-79.10	-9.22	-2.84	
16	-0.01	-0.98	0.22	1.00	-79.43	-8.20	-1.56	
17	0.02	-0.96	0.22	0.99	-79.38	-7.57	-0.81	
18	-0.00	-0.96	0.21	0.98	-79.39	-6.82	-0.09	
19	-0.01	-0.97	0.16	0.98	-79.61	-6.37	0.17	
20	0.06	-0.96	0.16	0.97	-79.76	-8.60	-2.35	
21	0.15	-0.93	0.22	0.96	-79.10	-15.37	-10.05	
22	0.23	-1.00	0.19	1.05	-78.93	-25.87	-22.18	
23	0.12	-0.99	0.21	1.01	-78.61	-31.29	-29.62	
24	0.15	-0.96	0.24	1.00	-78.43	-36.46	-35.94	
25	0.22	-0.92	0.20	0.97	-78.30	-42.54	-42.72	
26	0.24	-0.86	0.20	0.92	-78.03	-46.97	-48.02	
27	0.22	-0.95	0.14	0.99	-78.36	-50.23	-52.11	
28	0.12	-0.96	0.19	0.98	-79.26	-49.65	-52.13	
29	0.02	-1.00	0.16	1.01	-80.97	-43.06	-44.69	
30	0.02	-1.20	0.01	1.20	-83.37	-31.75	-31.74	
31	-0.12	-0.94	0.09	0.95	-83.96	-14.66	-13.52	
32	-0.17	-1.00	0.01	1.02	-84.23	9.58	12.71	
33	-0.04	-1.01	0.18	1.03	-83.45	26.70	32.39	
34	-0.05	-1.00	0.19	1.02	-82.27	33.27	40.00	
35	-0.23	-0.90	0.11	0.94	-81.49	41.29	47.66	
36	-0.24	-0.88	0.12	0.92	-81.00	45.91	52.16	
37	-0.14	-0.90	0.18	0.93	-81.16	47.66	54.30	
38	-0.08	-0.93	0.13	0.94	-82.15	46.77	53.22	
39	-0.09	-0.97	0.20	0.99	-83.33	41.46	47.25	
40	0.05	-1.03	0.13	1.04	-84.46	21.95	26.27	
41	0.05	-1.33	-0.13	1.34	-86.71	-0.23	1.29	
42	-0.03	-0.77	0.07	0.77	-85.78	-10.86	-11.74	
43	0.20	-0.93	-0.06	0.95	-85.04	-41.48	-44.97	
44	0.03	-1.01	-0.03	1.02	-84.06	-58.68	-65.18	
45	0.14	-1.13	0.02	1.14	-83.35	-67.47	-74.55	
46	0.22	-0.92	0.09	0.95	-82.58	-70.35	-76.59	
47	0.18	-0.87	0.11	0.90	-81.35	-73.41	-80.20	
48	0.20	-0.96	0.10	0.98	-80.50	-76.94	-84.58	
49	0.20	-0.99	0.09	1.01	-80.34	-79.64	-87.50	
50	0.19	-0.97	0.09	1.00	-81.04	-79.33	-86.75	
51	0.14	-0.98	0.12	1.00	-82.08	-74.85	-81.39	
52	0.00	-0.98	0.13	0.98	-83.75	-61.99	-67.10	
53	0.08	-1.23	-0.10	1.23	-85.81	-47.99	-49.99	
54	0.05	-0.88	0.03	0.88	-86.09	-35.04	-35.29	
55	-0.02	-0.97	0.04	0.97	-86.32	-11.60	-10.34	
56	-0.06	-1.09	-0.03	1.09	-86.89	10.15	13.37	
57	-0.15	-0.92	0.04	0.93	-85.83	30.61	35.06	
58	-0.10	-1.02	0.09	1.03	-85.17	41.34	47.10	
59	-0.09	-1.00	0.15	1.01	-84.35	44.75	51.58	
60	-0.21	-1.00	0.07	1.02	-83.62	51.22	58.50	
61	-0.13	-0.92	0.09	0.93	-83.17	54.52	62.29	
62	-0.20	-0.91	0.12	0.94	-82.77	57.75	65.94	
63	-0.07	-0.94	0.18	0.96	-83.01	54.62	62.90	
64	-0.09	-0.89	0.18	0.92	-83.60	44.94	52.20	
65	-0.07	-1.33	0.01	1.33	-84.81	32.52	38.46	
66	0.15	-0.93	0.07	0.95	-85.26	7.68	12.62	
67	-0.14	-0.97	0.05	0.98	-85.41	-6.70	-3.42	
68	0.15	-1.11	0.03	1.12	-86.13	-33.92	-31.76	
69	0.23	-0.96	0.06	0.99	-84.78	-49.50	-48.57	
70	0.14	-1.04	0.09	1.06	-83.70	-52.95	-53.83	
71	-0.00	-0.95	0.09	0.96	-82.89	-48.51	-50.58	
72	0.20	-0.97	0.09	1.00	-81.99	-49.66	-51.99	
73	0.24	-0.91	0.10	0.94	-80.71	-51.04	-53.57	
74	0.20	-0.91	0.12	0.94	-79.96	-52.68	-55.27	
75	0.30	-1.01	0.16	1.06	-79.08	-52.01	-54.69	
76	0.17	-0.97	0.09	0.98	-79.10	-48.41	-51.33	
77	0.13	-0.85	0.16	0.87	-78.55	-33.66	-34.81	
78	0.19	-1.13	0.06	1.14	-79.23	-32.00	-31.14	
79	0.01	-0.78	0.13	0.79	-78.62	-27.19	-25.32	
80	-0.08	-0.91	0.12	0.92	-79.22	-21.44	-18.53	
81	-0.14	-0.91	0.29	0.97	-78.96	-13.97	-9.56	
82	0.07	-0.91	0.31	0.97	-77.26	-10.00	-4.78	
83	-0.10	-0.73	0.20	0.76	-76.48	-5.50	-0.22	
84	0.06	-1.06	0.35	1.12	-74.91	-5.34	-0.40	
85	0.02	-1.14	0.17	1.15	-75.35	-3.03	1.77	
86	-0.03	-0.80	0.49	0.94	-72.48	-0.64	4.37	
87	0.20	-0.78	0.43	0.91	-70.28	-2.30	2.78	
88	-0.00	-0.67	0.35	0.75	-69.09	-0.71	2.93	
89	-0.03	-0.75	0.44	0.87	-68.72	0.53	3.25	
90	-0.07	-0.64	0.27	0.70	-69.71	1.93	3.99	
91	-0.14	-0.83	0.40	0.93	-71.19	3.97	5.96	
92	-0.05	-0.52	0.24	0.58	-72.47	5.40	7.99	
93	0.05	-0.75	0.41	0.86	-73.89	6.76	10.08	
94	-0.04	-0.69	-0.01	0.69	-76.78	13.58	17.32	
95	0.17	-0.77	-0.41	0.89	-80.80	21.50	24.81	
96	-0.09	-0.58	-0.21	0.62	-85.14	55.43	57.32	
97	-0.23	-0.33	0.13	0.42	-96.28	52.41	127.47	
98	-1.45	-4.04	-1.65	4.60	-109.29	25.97	157.85	
99	0.07	0.41	0.48	0.63	-126.87	13.79	165.13	
100	-0.20	-0.19	-0.42	0.50	-134.89	16.18	163.94	
101	-0.19	-0.77	-0.70	1.06	-157.46	19.56	168.61	
102	0.35	-1.11	-1.48	1.89	-178.73	12.17	173.56	
103	0.31	-0.79	-1.01	1.31	179.38	4.16	173.62	
104	-0.57	0.10	-0.87	1.04	-161.87	21.01	168.62	
105	-0.57	0.24	-0.69	0.92	-141.77	26.76	165.27	
106	-0.46	-0.03	-0.77	0.90	-138.45	33.03	162.53	
107	-0.40	-0.24	-0.94	1.05	-140.29	32.87	166.16	
108	-3.18	-0.73	-3.46	4.75	-145.29	19.86	167.20	
109	-0.71	-0.29	-4.23	4.30	-175.25	11.13	172.35	
110	-0.27	0.02	-0.74	0.78	177.46	11.19	173.37	
111	-0.15	0.11	-1.46	1.47	174.69	9.10	173.90	
112	-0.24	0.04	-1.42	1.44	173.99	10.91	174.03	
113	-0.23	0.13	-1.01	1.04	170.48	14.60	175.05	
114	-0.21	0.13	-0.66	0.71	169.42	16.17	176.03	
115	-0.36	0.23	-0.93	1.02	168.21	16.96	177.19	
116	-0.35	0.17	-0.86	0.94	167.77	18.29	177.37	
117	-0.37	0.20	-1.14	1.22	168.56	17.21	177.15	
118	-0.34	0.24	-1.11	1.19	170.25	15.98	176.70	
119	-0.11	-0.11	-0.83	0.84	175.77	13.45	176.02	
120	-0.20	0.04	-0.86	0.89	177.05	11.71	175.77	
121	-0.27	0.07	-1.15	1.19	174.95	12.08	176.09	
122	-0.27	0.08	-1.13	1.17	174.51	12.65	176.09	
123	-0.25	0.08	-1.02	1.06	175.00	12.70	175.97	
124	-0.23	0.08	-0.98	1.01	175.16	12.25	175.94	
125	-0.22	0.08	-1.02	1.05	174.94	11.49	176.00	
126	-0.21	0.09	-1.06	1.08	174.48	11.00	176.13	
127	-0.22	0.09	-1.05	1.08	174.42	11.00	176.18	
128	-0.22	0.09	-1.01	1.04	174.55	11.21	176.17	
129	-0.22	0.09	-0.98	1.01	174.77	11.33	176.14	
130	-0.21	0.09	-1.02	1.05	174.97	11.25	176.14	
131	-0.21	0.08	-1.04	1.06	175.09	11.06	176.16	
132	-0.21	0.08	-1.03	1.06	175.13	10.89	176.19	
133	-0.20	0.09	-1.04	1.06	175.13	10.75	176.21	
134	-0.20	0.08	-1.04	1.06	175.17	10.64	176.23	
135	-0.21	0.09	-1.03	1.05	175.19	10.67	176.25	
136	-0.20	0.09	-1.03	1.05	175.22	10.66	176.26	
137	-0.20	0.08	-1.04	1.06	175.24	10.62	176.29	
138	-0.20	0.09	-1.03	1.05	175.25	10.54	176.31	
139	-0.20	0.08	-1.04	1.06	175.24	10.49	176.33	
140	-0.20	0.09	-1.04	1.06	175.24	10.41	176.35	
141	-0.20	0.09	-1.04	1.06	175.22	10.39	176.36	
142	-0.20	0.08	-1.03	1.05	175.22	10.47	176.38	
143	-0.20	0.09	-1.03	1.05	175.20	10.52	176.39	
144	-0.20	0.09	-1.03	1.05	175.19	10.55	176.40	
145	-0.20	0.09	-1.03	1.06	175.19	10.58	176.41	
146	-0.19	0.09	-1.03	1.06	175.19	10.58	176.42	
147	-0.20	0.09	-1.04	1.06	175.18	10.57	176.43	
148	-0.20	0.09	-1.04	1.06	175.17	10.58	176.44	
149	-0.20	0.09	-1.04	1.06	175.14	10.63	176.45	
150	-0.20	0.09	-1.03	1.05	175.15	10.62	176.46	
151	-0.20	0.09	-1.04	1.06	175.15	10.61	176.47	
152	-0.20	0.10	-1.03	1.06	175.13	10.61	176.48	
153	-0.20	0.09	-1.04	1.06	175.15	10.61	176.49	
154	-0.20	0.09	-1.04	1.06	175.17	10.60	176.50	
155	-0.19	0.09	-1.04	1.06	175.16	10.59	176.51	
156	-0.20	0.09	-1.03	1.06	175.16	10.60	176.51	
157	-0.19	0.09	-1.03	1.05	175.16	10.61	176.52	
158	-0.19	0.09	-1.04	1.06	175.18	10.60	176.52	
159	-0.19	0.09	-1.03	1.05	175.19	10.61	176.53	
160	-0.19	0.10	-1.03	1.06	175.19	10.58	176.54	
161	-0.20	0.09	-1.04	1.06	175.20	10.55	176.54	
162	-0.19	0.09	-1.03	1.06	175.22	10.55	176.55	
163	-0.19	0.09	-1.03	1.06	175.24	10.55	176.55	
164	-0.19	0.09	-1.04	1.06	175.25	10.53	176.55	
165	-0.19	0.10	-1.04	1.06	175.24	10.53	176.56	
166	-0.19	0.09	-1.03	1.05	175.25	10.52	176.56	
167	-0.19	0.09	-1.03	1.05	175.27	10.51	176.56	
168	-0.20	0.09	-1.03	1.06	175.29	10.52	176.57	
169	-0.19	0.09	-1.03	1.06	175.30	10.51	176.57	
170	-0.19	0.09	-1.03	1.05	175.29	10.52	176.58	
171	-0.19	0.09	-1.04	1.06	175.31	10.46	176.58	
