Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.04	-0.99	0.07	1.00	-85.33	30.20	27.93	
1	-0.05	-1.01	0.05	1.01	-85.53	36.42	34.00	
2	-0.05	-1.01	0.06	1.01	-85.68	41.41	38.73	
3	-0.05	-1.00	0.06	1.00	-85.79	44.16	41.22	
4	-0.04	-0.98	0.07	0.99	-85.64	40.85	37.53	
5	-0.04	-0.99	0.09	1.00	-85.57	39.14	35.67	
6	-0.05	-0.96	0.15	0.98	-84.94	33.09	29.42	
7	-0.02	-0.94	0.09	0.95	-84.37	28.03	24.15	
8	-0.01	-1.01	0.08	1.02	-84.62	29.83	25.93	
9	-0.02	-0.97	0.10	0.98	-84.71	31.71	27.90	
10	-0.04	-1.02	0.11	1.02	-84.77	35.82	32.24	
11	-0.03	-0.98	0.14	0.99	-84.72	37.23	33.57	
12	-0.04	-1.00	0.10	1.00	-85.43	46.55	42.87	
13	-0.03	-1.01	0.07	1.01	-85.97	57.19	53.54	
14	-0.04	-0.98	0.09	0.98	-86.11	63.96	60.33	
15	-0.04	-0.99	0.11	1.00	-86.26	67.79	63.89	
16	-0.07	-0.98	0.12	0.99	-86.13	69.01	64.84	
17	-0.05	-0.99	0.14	1.00	-86.10	67.52	63.04	
18	-0.03	-0.97	0.11	0.98	-86.12	67.12	62.34	
19	-0.01	-1.00	0.08	1.00	-86.32	73.18	68.13	
20	-0.01	-1.01	0.05	1.01	-86.49	82.74	77.34	
21	-0.02	-0.99	0.04	0.99	-93.34	84.90	89.25	
22	-0.01	-0.99	0.01	0.99	-93.33	62.10	111.29	
23	-0.01	-1.02	-0.06	1.02	-94.23	36.91	135.53	
24	-0.01	-0.99	-0.07	0.99	-95.38	22.52	148.89	
25	0.03	-0.97	-0.05	0.98	-96.37	12.17	158.09	
26	0.02	-1.02	-0.11	1.03	-97.80	2.40	166.42	
27	0.07	-0.99	0.02	1.00	-98.99	-8.90	176.53	
28	0.11	-1.07	0.04	1.07	-99.50	-19.98	-173.49	
29	0.08	-1.05	0.03	1.06	-99.71	-28.59	-166.37	
30	0.12	-0.97	-0.02	0.98	-100.72	-33.51	-161.69	
31	0.15	-0.91	-0.01	0.92	-101.70	-36.38	-158.41	
32	0.18	-0.99	0.04	1.00	-101.76	-37.67	-156.53	
33	0.21	-0.97	-0.02	0.99	-101.24	-37.45	-155.68	
34	0.27	-0.98	-0.08	1.01	-100.77	-36.71	-155.43	
35	0.31	-1.00	-0.08	1.05	-100.64	-37.50	-154.78	
36	0.25	-0.96	-0.05	0.99	-100.47	-38.74	-154.75	
37	0.24	-0.95	-0.11	0.99	-100.58	-37.28	-158.12	
38	0.10	-1.02	-0.13	1.03	-100.81	-30.99	-166.90	
39	-0.05	-1.03	-0.17	1.04	-101.79	-19.53	179.73	
40	-0.13	-0.94	-0.06	0.95	-102.28	-10.06	169.69	
41	-0.16	-1.04	-0.13	1.06	-102.95	-0.21	160.72	
42	-0.06	-0.99	-0.15	1.01	-104.32	7.09	155.13	
43	-0.06	-1.07	-0.15	1.08	-105.75	10.97	151.74	
44	-0.15	-1.03	-0.19	1.05	-107.15	14.82	147.86	
45	-0.18	-0.96	-0.13	0.99	-107.45	19.92	143.01	
46	-0.14	-1.00	-0.18	1.02	-107.73	23.45	139.90	
47	-0.17	-0.97	-0.18	1.01	-107.76	27.31	136.59	
48	-0.16	-0.99	-0.16	1.01	-107.48	30.80	133.52	
49	-0.20	-0.98	-0.18	1.02	-107.30	33.73	130.62	
50	-0.20	-0.97	-0.18	1.01	-107.04	35.96	128.27	
51	-0.21	-0.95	-0.16	0.98	-106.85	37.42	126.76	
52	-0.21	-0.96	-0.19	1.00	-106.95	37.76	126.62	
53	-0.22	-0.96	-0.20	1.00	-106.93	38.03	126.91	
54	-0.16	-0.97	-0.23	1.01	-106.93	36.97	128.64	
55	-0.14	-0.96	-0.22	0.99	-106.76	35.73	130.66	
56	-0.14	-0.95	-0.18	0.98	-106.31	33.76	133.30	
57	0.20	-0.99	-0.17	1.02	-105.10	23.73	142.87	
58	-0.05	-1.24	-0.23	1.27	-105.32	15.20	150.18	
59	0.12	-0.76	0.16	0.79	-101.26	13.09	152.39	
60	0.13	-1.08	-0.03	1.09	-101.50	0.84	163.77	
61	0.01	-0.98	-0.10	0.99	-102.39	-5.89	169.25	
62	0.13	-0.95	0.01	0.96	-102.77	-11.61	174.47	
63	0.08	-0.96	-0.02	0.97	-101.91	-10.47	174.39	
64	0.20	-1.01	-0.14	1.04	-101.42	-9.65	175.41	
65	0.19	-0.99	-0.15	1.02	-100.70	-8.17	175.43	
66	0.23	-0.85	-0.15	0.90	-99.67	-4.46	172.80	
67	0.24	-0.78	-0.22	0.85	-100.18	2.01	166.33	
68	-0.83	-2.28	-0.50	2.48	-102.37	14.31	155.13	
69	0.23	-0.65	-0.02	0.68	-106.00	6.91	161.64	
70	-0.34	-1.18	0.29	1.26	-101.21	16.60	148.97	
71	-0.24	-0.92	-0.18	0.97	-102.90	21.87	143.91	
72	-0.07	-0.93	-0.08	0.94	-103.52	23.82	141.56	
73	-0.18	-0.96	-0.09	0.98	-103.40	28.63	135.83	
74	-0.25	-0.97	-0.13	1.01	-104.14	30.14	133.00	
75	-0.22	-0.99	-0.15	1.02	-104.46	31.50	130.34	
76	-0.26	-0.94	-0.14	0.98	-104.46	33.35	127.32	
77	-0.26	-0.98	-0.19	1.03	-104.31	35.06	125.01	
78	-0.22	-0.95	-0.17	0.99	-103.82	37.21	122.65	
79	-0.20	-0.95	-0.24	1.00	-103.52	37.70	122.05	
80	-0.17	-0.90	-0.19	0.94	-103.17	36.25	123.58	
81	-0.02	-0.97	-0.20	1.00	-102.83	28.64	130.83	
82	0.28	-1.56	-0.44	1.65	-104.73	13.98	143.38	
83	-0.14	-0.65	0.26	0.71	-101.86	22.35	136.67	
84	0.12	-1.23	0.06	1.24	-99.80	14.20	143.03	
85	-0.15	-1.04	0.09	1.06	-99.15	12.04	143.29	
86	0.06	-0.99	0.05	1.00	-97.71	4.09	151.14	
87	0.05	-0.92	0.06	0.92	-96.76	-2.90	158.10	
88	0.02	-0.95	0.01	0.95	-96.33	-4.24	159.89	
89	0.03	-0.93	0.02	0.93	-95.76	-0.83	157.77	
90	0.12	-0.99	-0.00	1.00	-95.21	0.73	157.70	
91	0.11	-0.98	-0.05	0.99	-94.68	3.27	156.23	
92	0.10	-0.99	-0.04	0.99	-94.73	8.11	151.79	
93	0.07	-1.01	-0.08	1.02	-94.77	16.46	142.43	
94	-0.00	-0.95	-0.08	0.95	-95.30	27.87	129.85	
95	0.06	-0.96	-0.12	0.97	-96.65	32.46	124.54	
96	0.06	-0.96	-0.13	0.97	-97.78	38.14	118.13	
97	0.11	-0.84	-0.15	0.86	-98.25	44.30	111.21	
98	-0.36	-0.80	-0.27	0.92	-99.77	50.18	105.66	
99	-0.13	-0.80	0.39	0.90	-98.52	63.56	91.53	
