Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.05	-0.97	0.19	0.99	-78.36	15.65	12.78	
1	-0.05	-0.97	0.19	0.99	-78.74	16.33	13.41	
2	-0.05	-0.96	0.19	0.98	-79.03	16.84	13.87	
3	-0.05	-0.97	0.19	0.99	-79.31	17.30	14.28	
4	-0.05	-0.97	0.20	0.99	-79.61	17.73	14.70	
5	-0.05	-0.97	0.19	0.99	-79.92	18.27	15.24	
6	-0.05	-0.97	0.20	0.99	-80.13	18.74	15.71	
7	-0.05	-0.98	0.18	0.99	-80.56	19.52	16.52	
8	-0.05	-0.96	0.19	0.98	-80.83	20.44	17.45	
9	-0.05	-0.97	0.24	1.00	-80.98	20.84	17.89	
10	-0.06	-0.98	0.18	1.00	-81.88	24.37	21.50	
11	-0.03	-0.96	0.10	0.96	-83.97	34.56	31.89	
12	-0.07	-0.97	0.06	0.97	-85.85	60.29	57.75	
13	-0.03	-1.03	0.06	1.03	-93.64	77.29	100.16	
14	0.02	-1.02	-0.03	1.02	-94.98	42.29	134.97	
15	-0.10	-0.96	-0.03	0.97	-96.57	32.51	144.17	
16	-0.17	-1.02	0.01	1.03	-97.62	31.75	145.98	
17	0.04	-1.02	0.07	1.02	-97.64	32.58	146.57	
18	0.13	-1.01	-0.04	1.02	-98.92	24.19	155.08	
19	-0.02	-1.03	-0.12	1.04	-100.07	18.75	159.80	
20	-0.02	-0.99	-0.14	1.00	-101.09	12.98	163.61	
21	0.07	-1.09	-0.16	1.10	-101.43	6.94	167.27	
22	-0.00	-0.93	-0.08	0.93	-100.76	5.05	166.67	
23	-0.14	-0.96	-0.11	0.97	-100.95	5.57	164.00	
24	-0.21	-1.05	-0.16	1.08	-101.54	7.77	160.87	
25	-0.11	-0.97	-0.19	1.00	-102.51	10.28	158.52	
26	-0.11	-1.04	-0.19	1.06	-103.24	14.23	155.73	
27	-0.15	-0.97	-0.08	0.99	-103.27	20.60	150.59	
28	-0.13	-1.01	-0.09	1.02	-104.20	23.98	147.97	
29	-0.14	-1.01	-0.09	1.02	-104.96	26.40	145.90	
30	-0.17	-0.95	-0.12	0.98	-105.63	28.70	143.64	
31	-0.21	-0.97	-0.12	0.99	-106.24	31.00	141.59	
