Time	Ax	Ay	Az	Asum	gx	gy	gz
0	-0.13	-0.87	0.41	0.97	-63.76	17.16	10.72	
1	-0.13	-0.87	0.41	0.97	-63.95	17.28	10.95	
2	-0.13	-0.88	0.40	0.98	-64.25	17.42	11.22	
3	-0.13	-0.88	0.41	0.98	-64.49	17.50	11.43	
4	-0.12	-0.88	0.40	0.97	-64.81	17.66	11.63	
5	-0.13	-0.89	0.40	0.99	-65.14	17.91	11.92	
6	-0.13	-0.89	0.38	0.98	-65.53	18.15	12.19	
7	-0.13	-0.89	0.40	0.98	-65.84	18.22	12.35	
8	-0.12	-0.90	0.37	0.98	-66.30	18.50	12.68	
9	-0.13	-0.89	0.39	0.98	-66.61	18.86	13.15	
10	-0.14	-0.89	0.36	0.97	-67.12	19.40	13.81	
11	-0.13	-0.91	0.37	0.99	-68.37	19.76	14.73	
12	-0.13	-0.92	0.35	1.00	-69.86	20.53	15.70	
13	-0.13	-0.94	0.30	1.00	-71.40	21.79	17.10	
14	-0.13	-0.96	0.30	1.01	-71.98	23.51	18.88	
15	-0.14	-0.92	0.27	0.97	-72.59	24.95	20.33	
16	-0.14	-0.96	0.27	1.01	-73.03	25.81	21.28	
17	-0.12	-0.95	0.25	0.99	-73.46	26.57	22.07	
18	-0.09	-0.78	0.22	0.82	-73.91	27.37	22.81	
19	-0.12	-0.93	0.25	0.97	-74.37	28.00	23.54	
20	-0.12	-0.97	0.22	1.01	-75.03	28.71	24.41	
21	-0.11	-0.93	0.21	0.96	-75.70	29.53	25.44	
22	-0.13	-0.96	0.24	1.00	-76.31	30.73	26.87	
23	-0.11	-0.98	0.11	0.99	-77.15	31.85	28.17	
24	-0.14	-0.95	0.34	1.02	-76.80	30.50	27.32	
25	-0.09	-0.97	0.18	0.99	-77.48	31.07	27.79	
26	-0.10	-0.97	0.20	1.00	-77.96	31.98	28.38	
27	-0.10	-0.95	0.20	0.97	-78.21	33.17	29.28	
28	-0.14	-1.00	0.14	1.02	-79.17	37.68	33.53	
29	-0.12	-1.00	0.11	1.01	-80.57	42.73	38.51	
30	-0.10	-0.95	0.07	0.96	-82.28	49.15	44.96	
31	-0.03	-0.95	0.06	0.95	-84.08	56.41	51.97	
32	-0.06	-1.04	0.01	1.04	-85.63	72.81	67.76	
33	-0.08	-0.98	-0.07	0.99	-93.59	83.03	91.45	
34	-0.13	-1.00	0.03	1.01	-93.66	73.59	100.86	
35	-0.05	-1.02	-0.00	1.02	-93.53	65.46	109.27	
36	-0.04	-1.01	-0.01	1.01	-93.34	57.99	116.91	
37	0.00	-1.00	-0.04	1.01	-93.16	48.28	126.60	
38	0.00	-0.99	-0.04	0.99	-93.07	38.98	135.59	
39	0.01	-1.02	-0.09	1.02	-93.65	21.26	152.52	
40	0.03	-0.99	-0.05	0.99	-94.04	9.82	163.23	
41	-0.00	-1.02	-0.01	1.02	-94.28	1.81	170.47	
42	0.03	-1.00	-0.02	1.01	-94.67	-4.55	176.92	
43	0.04	-1.01	0.00	1.01	-94.63	-8.57	-179.05	
44	-0.01	-0.99	-0.05	0.99	-94.78	-8.34	-179.34	
45	0.01	-0.97	-0.02	0.97	-94.75	-7.43	-179.99	
46	-0.01	-1.01	-0.02	1.01	-94.75	-2.27	175.40	
47	0.05	-0.97	-0.01	0.97	-94.39	2.43	171.67	
48	0.06	-1.01	0.03	1.01	-93.67	11.77	163.36	
49	-0.03	-1.18	-0.17	1.19	-94.49	20.69	154.86	
50	-0.19	-0.91	-0.17	0.95	-95.50	27.07	148.50	
51	0.05	-0.96	0.01	0.96	-95.49	31.09	144.21	
52	-0.06	-1.00	-0.09	1.01	-97.13	30.66	144.30	
53	-0.22	-0.96	-0.21	1.01	-99.22	32.64	142.85	
54	-0.19	-0.89	-0.20	0.93	-101.17	34.15	142.92	
55	-0.07	-1.04	-0.16	1.06	-102.32	32.10	146.29	
56	-0.11	-1.09	-0.21	1.11	-104.48	29.06	151.08	
57	-0.18	-1.04	-0.17	1.07	-105.58	30.62	150.36	
58	-0.21	-0.93	-0.17	0.97	-106.34	33.86	147.96	
59	-0.19	-0.95	-0.18	0.99	-107.15	35.74	146.71	
60	-0.22	-0.97	-0.17	1.01	-107.44	37.24	145.62	
61	-0.23	-0.93	-0.13	0.97	-106.99	38.99	144.19	
62	-0.26	-0.97	-0.14	1.01	-106.06	41.02	142.56	
63	-0.15	-1.00	-0.17	1.03	-105.15	40.20	143.55	
64	-0.11	-1.02	-0.14	1.04	-103.75	38.98	144.36	
65	-0.16	-1.12	-0.29	1.16	-103.22	36.57	145.66	
66	-0.18	-0.86	-0.16	0.89	-102.21	39.92	142.15	
67	-0.09	-0.99	-0.11	1.00	-100.92	43.70	138.51	
68	-0.05	-0.98	-0.19	1.00	-100.45	41.03	140.34	
69	-0.14	-0.99	-0.14	1.01	-99.69	40.63	139.83	
70	-0.12	-1.02	-0.14	1.03	-99.08	40.04	140.27	
71	-0.04	-0.96	-0.09	0.96	-98.30	37.96	142.22	
72	-0.01	-1.00	-0.08	1.00	-97.52	33.84	145.74	
73	-0.04	-0.95	-0.06	0.95	-96.82	30.43	148.61	
74	0.04	-0.99	-0.02	0.99	-95.76	27.13	151.29	
75	0.07	-0.99	-0.06	0.99	-95.28	19.48	157.58	
76	-0.06	-0.97	-0.04	0.98	-94.82	18.25	157.20	
77	0.04	-0.94	-0.08	0.94	-94.85	12.76	161.69	
78	0.05	-0.84	-0.10	0.85	-95.14	8.28	165.34	
79	-0.08	-0.82	-0.10	0.83	-95.99	8.71	164.65	
80	0.00	-0.76	-0.07	0.76	-97.18	6.74	167.74	
81	0.17	-0.92	-0.04	0.93	-97.82	2.96	171.97	
82	-0.10	-0.78	-0.08	0.79	-98.82	6.21	167.47	
83	-0.16	-0.73	-0.09	0.76	-100.50	10.38	162.64	
84	-0.08	-0.78	-0.06	0.78	-101.64	14.19	159.73	
85	0.04	-0.75	0.00	0.76	-101.13	17.28	158.68	
86	0.08	-1.06	0.09	1.07	-98.64	21.38	155.44	
87	-0.29	-1.05	0.22	1.11	-95.78	43.17	132.91	
88	0.01	-0.67	0.25	0.72	-94.83	82.37	93.78	
89	-0.05	-0.84	-0.07	0.85	-96.25	54.15	120.83	
90	0.00	-0.56	-0.29	0.62	-101.64	26.50	147.23	
91	1.01	-0.27	-6.71	6.79	-111.91	9.36	159.63	
92	-0.12	1.56	3.68	4.00	-120.32	12.53	159.69	
93	-0.32	-1.03	-1.31	1.69	-141.08	6.88	165.93	
94	0.14	0.06	0.13	0.20	-147.04	6.88	167.54	
95	-0.05	-0.58	0.08	0.59	-157.91	3.71	170.54	
96	-0.09	0.02	-0.24	0.26	-166.07	0.25	172.22	
97	-0.01	-0.02	-2.64	2.64	-172.73	-0.31	172.89	
98	-0.10	0.70	-0.37	0.80	-174.34	-1.01	174.97	
99	-0.17	0.12	-1.48	1.49	-170.63	2.33	175.39	
100	-0.08	0.35	-1.12	1.18	-173.07	8.98	177.47	
101	0.35	4.24	-5.56	7.00	-177.09	4.59	173.27	
102	-0.26	0.48	-7.65	7.67	165.53	1.37	174.06	
103	-0.12	-0.04	-1.15	1.15	168.06	0.75	173.96	
104	-0.05	0.02	-0.62	0.62	167.25	-0.41	172.74	
105	0.07	0.25	-1.24	1.27	169.41	-0.73	172.07	
106	0.01	0.13	-1.11	1.11	170.65	-0.61	172.01	
107	0.01	0.09	-1.01	1.01	170.81	-0.30	172.03	
108	-0.01	0.10	-1.07	1.07	170.91	-0.22	172.15	
109	-0.02	0.10	-1.05	1.05	171.06	-0.06	172.26	
110	0.00	0.10	-1.07	1.07	171.28	-0.01	172.33	
111	0.06	0.09	-1.05	1.05	171.34	-0.23	172.45	
112	-0.01	0.11	-1.04	1.04	171.36	-0.37	172.48	
113	-0.01	0.11	-1.04	1.04	171.59	-0.30	172.45	
114	-0.00	0.11	-1.05	1.06	171.95	-0.19	172.44	
115	0.01	0.11	-1.06	1.06	172.34	-0.24	172.42	
116	-0.00	0.11	-1.05	1.05	172.51	-0.23	172.40	
117	-0.00	0.10	-1.05	1.06	172.61	-0.17	172.40	
118	-0.00	0.11	-1.05	1.06	172.72	-0.03	172.41	
119	-0.01	0.11	-1.05	1.06	172.84	0.03	172.42	
120	-0.01	0.10	-1.06	1.06	172.98	0.02	172.42	
121	-0.01	0.11	-1.05	1.06	173.10	0.06	172.42	
122	-0.00	0.10	-1.05	1.06	173.19	0.06	172.40	
123	-0.00	0.10	-1.06	1.06	173.30	0.05	172.38	
124	-0.00	0.11	-1.05	1.06	173.40	0.01	172.36	
125	-0.00	0.10	-1.06	1.07	173.48	-0.01	172.34	
126	-0.01	0.10	-1.05	1.06	173.54	0.03	172.34	
127	-0.00	0.10	-1.05	1.05	173.58	0.05	172.34	
128	-0.00	0.11	-1.06	1.06	173.68	0.06	172.33	
129	-0.00	0.10	-1.05	1.06	173.78	0.05	172.30	
130	0.00	0.10	-1.06	1.06	173.84	0.02	172.29	
131	-0.00	0.10	-1.05	1.06	173.89	0.01	172.28	
132	-0.00	0.10	-1.06	1.06	173.93	0.01	172.26	
133	0.00	0.10	-1.06	1.06	173.98	0.01	172.25	
134	0.00	0.10	-1.05	1.06	174.00	0.00	172.24	
135	0.00	0.10	-1.05	1.06	174.04	0.00	172.24	
136	-0.00	0.10	-1.05	1.06	174.06	0.01	172.23	
137	-0.00	0.10	-1.05	1.06	174.09	0.01	172.22	
138	-0.01	0.10	-1.05	1.06	174.14	0.02	172.21	
139	0.00	0.10	-1.05	1.06	174.17	0.02	172.19	
140	-0.00	0.11	-1.05	1.06	174.17	0.03	172.18	
141	-0.00	0.10	-1.05	1.05	174.21	0.03	172.17	
142	-0.00	0.10	-1.06	1.06	174.27	0.03	172.16	
143	-0.00	0.10	-1.05	1.06	174.29	0.03	172.15	
144	-0.00	0.10	-1.05	1.06	174.31	0.03	172.14	
145	-0.00	0.10	-1.05	1.06	174.32	0.02	172.13	
146	-0.00	0.10	-1.05	1.06	174.33	0.02	172.12	
147	-0.00	0.11	-1.05	1.06	174.33	0.03	172.11	
148	0.00	0.10	-1.05	1.06	174.33	0.02	172.10	
149	-0.00	0.10	-1.05	1.06	174.34	0.02	172.09	
150	0.00	0.10	-1.05	1.06	174.34	0.01	172.08	
151	-0.00	0.10	-1.05	1.06	174.35	0.03	172.07	
152	0.00	0.10	-1.05	1.06	174.37	0.02	172.06	
153	-0.00	0.11	-1.05	1.05	174.36	0.03	172.05	
154	-0.00	0.10	-1.05	1.05	174.37	0.04	172.04	
155	0.00	0.10	-1.05	1.06	174.37	0.04	172.03	
156	-0.00	0.10	-1.05	1.06	174.39	0.03	172.02	
157	-0.00	0.10	-1.05	1.06	174.40	0.03	172.01	
158	-0.00	0.10	-1.06	1.06	174.44	0.04	172.00	
159	-0.00	0.10	-1.06	1.06	174.44	0.05	171.99	
160	-0.00	0.10	-1.05	1.05	174.45	0.05	171.98	
161	-0.00	0.10	-1.06	1.06	174.46	0.05	171.97	
162	-0.00	0.10	-1.05	1.05	174.47	0.05	171.96	
163	-0.00	0.10	-1.05	1.06	174.47	0.05	171.95	
164	-0.00	0.10	-1.05	1.06	174.45	0.06	171.94	
165	-0.00	0.10	-1.05	1.06	174.45	0.07	171.93	
166	-0.00	0.10	-1.05	1.06	174.44	0.08	171.92	
167	0.00	0.10	-1.05	1.06	174.44	0.08	171.90	
168	-0.00	0.10	-1.05	1.06	174.44	0.08	171.89	
169	-0.00	0.11	-1.05	1.06	174.42	0.08	171.88	
170	0.00	0.10	-1.05	1.06	174.40	0.08	171.87	
171	-0.00	0.10	-1.04	1.05	174.38	0.10	171.87	
172	0.00	0.10	-1.05	1.06	174.36	0.14	171.87	
173	-0.01	0.11	-1.05	1.06	174.35	0.19	171.87	
174	-0.00	0.10	-1.05	1.06	174.37	0.26	171.89	
175	-0.01	0.10	-1.05	1.05	174.40	0.29	171.90	
176	-0.00	0.10	-1.05	1.05	174.45	0.27	171.89	
177	-0.01	0.10	-1.04	1.05	174.53	0.29	171.87	
178	0.00	0.10	-1.05	1.05	174.64	0.29	171.84	
179	-0.01	0.10	-1.02	1.03	174.70	0.27	171.83	
180	-0.01	0.09	-1.05	1.06	174.85	0.33	171.82	
